screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score
ludinarius,508,13289,109,944,2089,26,26.1594,16.8465,0.6555,6,0.299,0.3167,1633,9.265,9.8146,124.454,20.6173,1.3653,0.59,0.03,0.80,0.44,4.0766
Lunar_GamesInc,389,97,156,83,110,1,0.2494,0.1003,0.0437,15,2.0645,2.3133,24,2.0108,2.253,111.9462,24.1398,2.122,0.44,0.02,0.66,0.4946,0.9945
Lunar_Magic_,453,22,0,13,46,1,0.0486,0.1236,0.0177,2,0.1429,0.2308,353197,17007.9524,27474.3846,106.1905,35.5514,3.1429,0.33,0.05,0.67,0.5238,8908.7655
LusciousSpirit,226,74,138,102,208,3,0.3274,0.4381,0.0133,14,2.973,2.1569,1608,22.9189,16.6275,108.5946,33.1455,2.4,0.07,0.07,0.72,0.3784,8.6725
LydiaRogue,199,67,148,115,149,2,0.3367,0.1859,0.0302,9,1.0938,0.3043,20966,1244.25,346.2261,115.9688,27.4622,1.3,0.31,0.09,0.56,0.375,466.5938
LynnWorton,3079,46954,133,2956,2639,242,15.2498,0.569,0.0796,5,0.245,0.0829,45,1.654,0.5595,109.425,13.3189,2.5694,0.42,0.01,0.87,0.46,0.7608
LyonelBernard,3343,5099,62,1220,1302,23,1.5253,0.3425,0.0703,16,0.447,0.3664,11091,25.803,21.15,95.282,2.3716,1.7563,0.20,0.07,0.43,0.365,9.4181
mabelhood,3565,47940,57,37231,24357,833,13.4474,6.6474,0.0482,49,2.954,0.0793,1092,4.039,0.1085,113.061,45.0168,1.5026,0.38,0.08,0.59,0.541,2.1851
mackerelskygame,79,20,64,15,22,0,0.2532,0.6582,0.0759,7,1.2105,1.5333,76,7.1579,9.0667,106.6842,25.3258,2.5556,0.47,0.26,0.47,0.6316,4.5209
mactavish,3994,158982,142,3886,4999,323,39.8052,2.9034,0.1855,9,0.222,0.0571,143693,2100.304,540.4797,116.773,1.5153,1.3908,0.09,0.06,0.32,0.764,1604.6323
MacwolfP,610,137,134,29,15,0,0.2246,0.0197,0.0033,17,0.3209,1.4828,6,0.1716,0.7931,113.403,36.1874,1.25,0.03,0.03,0.87,0.1343,0.0231
madil80,3439,194775,143,38504,173,1476,56.6371,2.2219,0.2617,105,0.149,0.0039,100214,605.878,15.7355,125.114,3.9924,1.7229,0.25,0.10,0.19,0.936,567.1018
MadRavager,676,405,68,136,108,3,0.5991,0.6376,0.1672,28,2.2261,6.1544,151608,2914.6755,8058.2206,115.6117,24.2857,1.4679,0.41,0.16,0.53,0.625,1821.6722
MaeSimkin,1520,13545,32,292,632,4,8.9112,13.9454,0.0862,50,1.454,4.9795,119909,992.112,3397.6438,65.487,18.0085,1.191,0.09,0.14,0.14,0.158,156.7537
MaestroMurdock,1411,586,122,125,559,1,0.4153,0.3154,0.1262,72,0.7791,3.64,201055,1744.1918,8148.864,117.625,23.6362,1.5812,0.33,0.13,0.52,0.3784,660.0022
MagicOrthodoxy,2354,5028,33,1705,628,22,2.1359,2.065,0.0038,30,2.024,1.1871,4,0.326,0.1912,98.27,23.3849,1.433,0.45,0.06,0.81,0.253,0.0825
MakeAnything3D,509,596,56,6507,69,23,1.1709,1.721,0.0648,144,7.9406,0.7188,1278,6.0628,0.5488,88.2275,30.541,1.3333,0.03,0.07,0.38,0.3243,1.9662
MakerFaireRoc,1459,3672,128,1662,2470,95,2.5168,1.6573,0.2042,72,2.045,1.2304,3459,7.307,4.3965,119.43,29.0532,1.5057,0.35,0.14,0.46,0.625,4.5669
malaneuh,1707,71374,0,596,980,270,41.8125,49.9994,0.0697,6,0.136,0.2282,15285,24.041,40.3372,85.094,13.8718,2.8507,0.07,0.01,0.95,0.257,6.1785
malpertuis,4012,57675,19,424,1076,32,14.3756,6.991,0.0733,10,0.68,1.6038,128649,1552.612,3661.8208,92.577,6.4973,1.8367,0.05,0.20,0.33,0.314,487.5202
manabrownies,2744,83744,73,3632,1914,91,30.519,56.7493,0.1144,50,1.616,0.4449,150872,3081.532,848.4394,66.506,16.4206,1.2911,0.08,0.23,0.12,0.367,1130.9222
manixur,143,1848,74,128,62,2,12.9231,38.2937,1.4056,86,1.834,14.3281,43754,100.792,787.4375,105.992,16.0238,1.0806,0.06,0.02,0.42,0.239,24.0893
manvsmeeple,872,2491,87,4468,409,119,2.8567,11.7259,0.0069,205,11.438,2.56,383,2.36,0.5282,102.241,38.641,1.2472,0.09,0.07,0.47,0.341,0.8048
mappingmegan,1913,126825,159,118785,21830,2605,66.2964,35.3701,0.0554,92,3.238,0.0273,6039,9.649,0.0812,110.812,34.0368,1.6614,0.19,0.45,0.81,0.776,7.4876
Maree71439592,1464,336264,148,8442,7012,301,229.6885,40.7862,0.6762,20,0.123,0.0146,8162,84.903,10.0572,132.221,17.7831,1.9712,0.28,0.14,0.20,0.999,84.8181
margiesmith2011,2254,3759,29,103,166,11,1.6677,0.3261,0.0004,5,0.362,3.5146,2,0.052,0.5049,101.578,39.7192,1.0936,0.50,0.04,0.80,0.045,0.0023
MargotAtwell,3476,4495,152,2225,1880,87,1.2932,2.5863,0.1614,182,2.815,1.2652,211511,1180.508,530.5654,125.947,32.3809,1.2683,0.16,0.06,0.52,0.795,938.5039
MarieClapsaddle,3697,1921,0,290,218,86,0.5196,0.0538,0.1888,10,0.088,0.3034,3445,21.351,73.6241,129.134,23.9053,4.0126,0.80,0.08,0.61,0.848,18.1056
MarieSexton,2907,39924,115,4088,793,172,13.7337,2.3402,0.0636,45,1.477,0.3613,2278,7.397,1.8094,106.188,14.9317,1.7797,0.23,0.11,0.42,0.235,1.7383
MarkOblivious,3317,1994,148,881,352,83,0.6011,0.2291,0.0314,215,1.874,2.1271,155946,248.712,282.3065,109.971,28.689,2.546,0.54,0.43,0.52,0.691,171.86
markpopham,3240,93588,128,9643,877,138,28.8852,22.0725,0.1077,17610,58.199,6.0354,92966,710.879,73.7197,105.789,7.2022,1.1176,0.02,0.12,0.33,0.574,408.0445
MarthaHalfordPR,3075,4012,108,1351,1387,84,1.3047,0.0907,0.0254,11,0.45,0.3331,8939,12.925,9.567,127.583,18.4571,1.7852,0.87,0.24,0.89,0.227,2.934
martiansoil,3687,16124,99,5580,1336,356,4.3732,2.0553,0.0434,56,3.435,0.6156,14779,33.359,5.9783,111.131,15.7249,1.5204,0.10,0.12,0.84,0.745,24.8525
MartinLenkie,2014,95,85,22,59,0,0.0472,0.002,0.003,3,0.2069,0.8182,66,0.9195,3.6364,100.6897,26.4632,1.7273,0.38,0.03,0.45,0.1149,0.1057
Mary_Bellamy,2865,1080,157,354,593,18,0.377,0.0541,0.103,37,0.299,0.8446,3753,7.769,21.9463,108.865,24.1293,2.081,0.21,0.15,0.39,0.494,3.8379
MaryMorganVoice,3182,2245,141,959,529,149,0.7055,0.6405,0.0009,17,1.599,1.6674,10,0.479,0.4995,107.725,37.362,2.3791,0.31,0.04,0.55,0.2,0.0958
MarySueSays,3300,41076,160,704,483,50,12.4473,30.5867,0.1267,726,3.631,5.1577,134203,2019.176,2868.1477,105.776,6.6485,1.3667,0.03,0.11,0.27,0.462,932.8593
mashup_coub,406,2816,48,67,13,1,6.936,0.0025,0.0,5,2.146,32.0299,3,1.991,29.7164,49.449,0.0877,1.0,0.04,0.00,1.00,0.994,1.9791
MaskedShaman,1709,7262,121,80,249,1,4.2493,2.7882,0.4974,18,0.249,3.1125,337832,7592.214,94902.675,92.371,16.0259,1.7016,0.12,0.61,0.08,0.861,6536.8963
materialcom,222,287,153,335,449,1,1.2928,1.8919,0.1802,28,2.34,1.7463,10,1.24,0.9254,104.76,30.9667,1.3175,0.25,0.12,0.66,0.552,0.6845
MatericLook,1790,27046,159,28105,28887,773,15.1095,24.243,0.0173,30,3.8,0.1352,5775,7.131,0.2537,124.647,28.7389,7.291,0.62,0.21,0.96,0.419,2.9879
mattfaulisi,3721,10259,108,545,634,16,2.7571,1.3316,0.0309,104,1.351,2.4789,379938,1298.711,2382.956,82.876,26.2265,1.266,0.09,0.19,0.26,0.178,231.1706
mattthr,3071,34439,158,1854,628,95,11.2143,2.9977,0.0495,23,1.518,0.8188,43797,386.22,208.3172,98.728,8.8989,1.1304,0.07,0.12,0.43,0.214,82.6511
MattVerderame,2616,26336,130,3533,540,86,10.0673,6.1713,0.1013,540,5.707,1.6153,282370,1936.927,548.2386,105.07,10.6196,1.3988,0.17,0.06,0.53,0.47,910.3557
MauraWilding,3429,13089,89,5194,4972,192,3.8171,3.3535,0.1336,293,3.135,0.6036,132790,348.776,67.1498,110.921,36.089,1.2289,0.20,0.10,0.31,0.58,202.2901
maxplayingcards,2630,1243,44,1127,38,16,0.4726,0.0008,0.0023,27,0.613,0.5439,7,0.688,0.6105,130.743,15.2812,2.3716,0.88,0.54,0.99,0.566,0.3894
maydaygames,3329,5151,89,11212,2743,325,1.5473,2.5347,0.1553,42,2.168,0.1934,9617,11.203,0.9992,110.21,29.862,1.6635,0.32,0.31,0.38,0.689,7.7189
mazegamesfr,727,57,78,377,27,1,0.0784,0.0344,0.0151,6,0.8772,0.1326,8,1.2281,0.1857,98.3509,-5.4014,3.8636,0.39,0.28,0.61,0.4386,0.5386
mcdoidge,3362,12698,147,1464,183,107,3.7769,0.5634,0.0345,23,2.528,1.7268,235227,655.547,447.778,103.296,21.1865,1.6234,0.15,0.06,0.64,0.168,110.1319
MeaKitty,3399,63140,133,422,149,32,18.5761,0.6125,0.0809,13,0.411,0.9739,399544,840.721,1992.2299,120.121,27.2966,1.5263,0.23,0.09,0.60,0.411,345.5363
MedGizmo,1106,27739,132,2936,3028,1768,25.0805,0.0949,0.0,47,0.462,0.1574,34,1.572,0.5354,135.074,7.6505,5.7255,1.00,0.06,1.00,0.698,1.0973
medusaminis,849,234,73,1033,852,26,0.2756,0.669,0.0518,15,1.618,0.365,48,2.1588,0.4869,90.0687,24.4506,1.9778,0.19,0.17,0.42,0.3777,0.8154
megjmont,2088,3664,23,416,505,6,1.7548,1.7926,0.1183,22,1.545,3.7139,414986,3113.553,7484.5024,81.051,14.4339,1.1915,0.05,0.22,0.27,0.295,918.4981
MelBaka_Art,1285,126,154,80,197,12,0.0981,0.0911,0.007,14,2.0407,3.1375,16291,348.1789,535.325,94.187,16.8774,4.6129,0.76,0.74,0.23,0.3902,135.8594
Melorailiana,3466,3864,150,14690,10174,609,1.1148,2.8153,0.1304,30,0.525,0.0357,7055,40.503,2.7572,117.298,26.8626,1.7662,0.43,0.02,0.56,0.644,26.0839
mendozasalado,2548,1955,69,162,371,19,0.7673,0.1817,0.3089,6,0.147,0.9074,52687,572.676,3535.037,118.208,7.0659,1.8727,0.28,0.17,0.43,0.835,478.1845
MeneerkeP,2868,7983,0,105,231,7,2.7835,0.0052,0.1454,2,0.047,0.4476,421,1.815,17.2857,99.052,3.4816,1.8582,0.13,0.14,0.70,0.426,0.7732
MeowMoeDotCom,791,50495,0,28373,6662,115,63.8369,15.6738,0.0,31,4.101,0.1445,12,1.17,0.0412,136.283,12.1561,8.8065,0.98,0.00,1.00,0.578,0.6763
MfgStories,2227,100945,159,21574,18432,5112,45.3278,3.2824,0.2371,15,0.691,0.032,604,6.316,0.2928,133.406,23.5224,3.3477,0.70,0.06,0.59,0.741,4.6802
MI_Focus,229,5579,156,715,2138,2,24.3624,1.5502,0.5764,28,0.507,0.7091,228,1.457,2.0378,106.604,12.1854,1.1582,0.30,0.35,0.89,0.211,0.3074
MiaLiljeberg,1829,4157,150,1443,2131,73,2.2728,0.2378,0.246,7,0.17,0.1178,350551,1303.244,903.149,115.978,10.7746,1.7078,0.69,0.28,0.58,0.54,703.7518
MICA_CD,1981,3556,52,862,346,20,1.7951,0.4518,0.0177,11,0.582,0.6752,65,0.448,0.5197,119.236,21.2001,1.9012,0.58,0.08,0.91,0.201,0.09
MichelleT_MSA,368,296,149,183,204,6,0.8043,1.606,0.1766,71,4.1379,6.5574,3188,31.1862,49.4208,124.2414,16.6639,1.3814,0.41,0.02,0.73,0.7241,22.5819
MicrochipMakes,2985,25567,160,58927,16954,1407,8.5652,7.9427,0.064,137,12.333,0.2093,182,6.476,0.1099,118.841,10.887,1.6379,0.06,0.72,0.86,0.924,5.9838
Microcosmmm,3311,12047,129,3865,1656,258,3.6385,1.6173,0.087,18,0.915,0.2367,169239,380.363,98.4122,119.236,20.7442,1.8714,0.35,0.07,0.74,0.477,181.4332
micsrai,2997,180,0,17,92,0,0.0601,0.3527,0.024,6,0.1445,1.4706,129278,2068.8613,21053.7059,116.7977,16.3204,1.325,0.23,0.08,0.36,0.4393,908.8508
MierceMinis,2132,672,107,1305,15,19,0.3152,0.0821,0.0826,86,1.7884,0.9004,38,2.5647,1.2912,114.2572,17.9432,1.1774,0.09,0.10,0.72,0.6606,1.6942
mighty_boards,704,720,145,1505,604,33,1.0227,1.6364,0.2514,33,1.8553,0.8518,198,1.7699,0.8126,115.8698,22.8967,2.688,0.52,0.34,0.59,0.466,0.8248
MikaelSannholm,3193,3,0,663,4978,1,0.0009,0.0006,0.0003,2,0.8,0.006,1,0.4,0.003,76.4,1.548,0,0.00,0.00,0.80,0.4,0.16
Mike_In_Tomago,172,7711,147,632,1487,13,44.8314,45.4709,1.4709,46,0.823,1.3022,33334,171.727,271.7199,92.071,3.6225,1.4195,0.17,0.12,0.41,0.391,67.1453
mikejchisholm,3365,233,113,367,324,14,0.0692,0.0689,0.0434,4,0.1082,0.0681,58480,343.9221,216.4741,120.0649,32.187,1.2727,0.24,0.15,0.35,0.697,239.7137
mikemoe1,3425,804,128,54,233,2,0.2347,0.0041,0.0193,28,0.235,3.4815,16472,65.3713,968.463,112.805,0.3125,2.0,0.62,0.06,0.15,0.1263,8.2564
mikeshouts,3268,14368,33,1405,1739,141,4.3966,0.3369,0.0024,8,0.25,0.1779,29329,43.725,31.121,112.637,10.6521,2.3,0.59,0.41,0.98,0.071,3.1045
Mikeyothedj,3396,28514,81,2065,1678,61,8.3963,0.0542,0.0,3,0.046,0.0223,2,0.012,0.0058,57.958,2.1949,0,0.00,0.00,1.00,0.01,0.0001
milkychai,2625,17812,110,5809,2173,59,6.7855,10.0114,0.1082,481,6.944,1.1954,149648,1992.023,342.9201,101.095,18.5455,1.4286,0.03,0.20,0.29,0.395,786.8491
MilwaukeeFlag,1137,898,38,706,299,9,0.7898,0.8215,0.0836,419,3.8722,4.8924,596,1.9843,2.5071,111.8464,27.0359,2.3283,0.60,0.30,0.64,0.4933,0.9789
mindsparklemag,2513,11837,53,3318,287,134,4.7103,0.349,0.0107,34,2.956,0.8909,6618,8.146,2.4551,107.498,19.6226,1.7143,0.01,0.68,0.80,0.377,3.071
MirkoPrettyman,327,859,71,37,26,0,2.6269,4.0398,0.948,14,0.5353,12.2973,11478,60.4647,1389.0541,105.1635,18.756,2.9763,0.40,0.08,0.41,0.4306,26.0361
MishraMadhuram,1798,178,0,62,26,1,0.099,0.0211,0.0095,3,0.3182,0.9032,272,2.8239,8.0161,114.1477,10.0885,3.5263,0.86,0.05,0.68,0.1648,0.4654
Misopogon,2957,14314,160,4951,578,175,4.8407,2.328,0.0325,327,7.693,1.5538,82712,131.612,26.5829,99.821,6.7778,1.0714,0.01,0.11,0.47,0.256,33.6927
MiSpringboard,2621,1084,160,1432,1382,44,0.4136,0.4254,0.1362,14,0.546,0.3813,173,2.052,1.433,126.541,33.1788,1.6719,0.51,0.12,0.74,0.511,1.0486
Miss_Engineered,2474,5941,149,1122,108,11,2.4014,0.4535,0.0416,20,2.237,1.9938,162262,710.702,633.4242,91.735,10.3401,1.1192,0.15,0.08,0.08,0.276,196.1538
MissionHealthNC,3352,8593,107,7673,1566,207,2.5635,0.6489,0.0576,87,3.066,0.3996,38,1.731,0.2256,130.464,26.7222,1.3048,0.19,0.03,0.79,0.652,1.1286
MissNykki,1202,1445,21,96,152,0,1.2022,1.386,0.1265,521,1.034,10.7708,1139589,3377.638,35183.7292,79.385,18.9743,2.9167,0.04,0.28,0.25,0.17,574.1985
mitzyandjimbo,165,250,158,393,256,0,1.5152,3.2,0.2061,32,4.6011,2.084,197,3.7135,1.6819,97.2472,28.2645,1.4,0.22,0.17,0.46,0.5056,1.8775
miyagi_ryota,2827,3149,75,2098,5001,0,1.1139,0.1291,0.0272,2,0.064,0.0305,4890,64.689,30.8337,101.298,23.9514,5.5561,0.20,0.02,0.83,0.093,6.0161
MJLBlogger,1156,7549,151,5138,530,31,6.5303,0.9472,0.0121,10,0.344,0.067,1008,2.807,0.5463,128.8,46.5811,2.1698,0.74,0.30,0.97,0.204,0.5726
mmbilal,3482,33925,129,55245,1668,813,9.743,6.2863,0.1252,96,6.086,0.1102,347092,1911.329,34.5973,122.844,13.011,1.1925,0.16,0.14,0.52,0.822,1571.1124
mmockingbird,3379,5002,35,5784,1246,142,1.4803,3.9423,0.2735,1931,5.118,0.8849,492781,16835.933,2910.7768,110.632,1.8336,1.16,0.03,0.19,0.12,0.96,16162.4957
Mnawrah,2830,19661,99,3876,3798,16,6.9473,0.0339,0.2127,197,1.063,0.2743,295109,4692.459,1210.6447,84.595,10.8735,2.0383,0.21,0.50,0.19,0.732,3434.88
MobileSyrup,3707,50610,144,92021,453,1868,13.6525,0.2279,0.0011,66,4.274,0.0464,32,1.448,0.0157,112.275,10.7047,2.0,0.00,0.94,0.99,0.567,0.821
Mocha_Soul,2762,15495,128,1346,2308,4,5.6101,5.3302,0.1745,86,2.403,1.7853,42370,284.654,211.4814,124.827,0.5218,1.37,0.10,0.04,0.44,0.596,169.6538
mockman,3798,37220,141,5265,3039,220,9.7999,9.9737,0.0408,68,2.092,0.3973,67522,161.436,30.6621,105.284,22.0606,1.3333,0.05,0.04,0.41,0.295,47.6236
modaco,3203,2296,92,16507,4,673,0.7168,0.0006,0.0222,12,0.663,0.0402,552,2.732,0.1655,82.779,14.6221,1.0,0.01,0.00,0.90,0.647,1.7676
Modernvinyl,2549,43728,40,28404,1561,451,17.155,1.7901,0.1197,146,3.695,0.1301,1204,7.646,0.2692,105.388,10.3579,1.2982,0.06,0.33,0.69,0.666,5.0922
MODoutdoor,1734,2100,88,2165,52,29,1.2111,0.0208,0.0582,75,1.129,0.5215,307,0.883,0.4079,91.809,22.7064,1.3932,0.12,0.15,0.87,0.262,0.2313
Mojoman1289,1377,321,138,255,1119,4,0.2331,5.6747,0.0334,62,1.875,2.3529,60993,198.075,248.5647,86.2281,15.7873,3.901,0.32,0.43,0.32,0.4156,82.32
mollysvh,2563,288,114,942,813,42,0.1124,0.2267,0.0211,94,4.5214,1.3439,166,4.9964,1.4851,111.9679,33.1489,1.1553,0.37,0.20,0.47,0.625,3.1228
mom_eugene,143,133,130,5,134,0,0.9301,3.972,0.0839,15,0.6842,13.0,39102,497.5895,9454.2,93.5263,44.0683,2.2903,0.33,0.15,0.42,0.2737,136.1902
MoneyMistress69,298,571,110,789,581,1,1.9161,2.6779,0.1409,12,1.4114,0.9392,731,6.72,4.4715,116.7619,14.4772,2.8051,0.45,0.10,0.84,0.4305,2.893
Monkey7771,3248,7359,23,1181,2437,2,2.2657,3.9609,0.2518,7,0.044,0.0373,6931,139.799,118.3734,112.906,13.1503,1.8902,0.33,0.32,0.34,0.827,115.6138
MonkeyWrenchATX,2680,2321,122,1265,48,65,0.866,0.0687,0.1437,10,0.26,0.2055,64443,277.576,219.4277,105.574,10.0277,1.7679,0.24,0.08,0.73,0.542,150.4462
Monolithedition,1300,494,0,1504,42,33,0.38,0.5254,0.1615,105,5.1748,1.6928,184,4.2337,1.385,107.2317,15.4002,1.8409,0.27,0.20,0.33,0.7317,3.0978
Monskerz,3325,965,22,272,364,10,0.2902,0.5086,0.0337,34,1.0803,3.6581,311132,364.7915,1235.1949,73.443,16.2754,1.4102,0.28,0.36,0.19,0.1705,62.197
moon_mxtr,3182,2829,110,1618,195,88,0.8891,0.0544,0.0053,149,12.774,7.8949,429,2.909,1.7979,91.047,17.5241,2.1313,0.73,0.64,0.58,0.723,2.1032
Moosekleenex,1510,3136,62,7508,272,113,2.0768,3.5079,0.1444,7317,66.548,8.8636,117368,2047.578,272.7195,73.001,20.1522,1.3929,0.08,0.33,0.13,0.477,976.6947
moregamespls,418,6547,94,1901,952,42,15.6627,40.4569,0.5861,122,3.548,1.8664,143698,151.318,79.5992,108.178,23.7302,1.4286,0.07,0.04,0.37,0.321,48.5731
Morgannn_Sierra,1434,2521,32,500,461,2,1.758,5.3689,0.2197,65,2.741,5.482,78550,482.457,964.914,55.558,26.4188,1.0455,0.02,0.25,0.05,0.518,249.9127
MosaicIoT,1615,132,33,287,63,8,0.0817,0.0217,0.0563,3,0.1212,0.0557,297,12.3258,5.669,115.9015,29.1927,1.2373,0.45,0.21,0.60,0.7955,9.8051
Moshology,2524,12108,4,4111,2740,49,4.7971,6.414,0.0012,70009,86.466,21.0328,27459,34.251,8.3315,39.79,2.2592,1.6667,0.00,0.06,0.05,0.397,13.5976
Mosioatunya11,866,16556,101,371,104,9,19.1178,42.4584,0.8903,7,0.204,0.5499,47313,303.828,818.9434,124.701,-4.5022,1.4904,0.10,0.08,0.23,0.812,246.7083
MOWheatley,3296,10897,0,498,152,25,3.3061,0.0249,0.0003,10,0.269,0.5402,10,0.158,0.3173,79.223,9.7828,1.0,0.00,0.00,0.99,0.103,0.0163
MPRG_Victoria,2902,1330,63,1682,1451,47,0.4583,0.0117,0.0544,15,0.425,0.2527,46,0.712,0.4233,122.402,32.5405,2.1259,0.41,0.28,0.65,0.365,0.2599
mrdavidfilm,1076,1902,158,262,1275,19,1.7677,0.3597,0.2082,29,0.415,1.584,138223,195.074,744.5573,113.15,25.847,1.5833,0.24,0.06,0.72,0.618,120.5557
MrDBerger,3255,12226,139,2813,3403,105,3.7561,4.4194,0.1727,31,0.727,0.2584,449500,4308.705,1531.7117,107.626,15.8884,1.89,0.21,0.12,0.33,0.645,2779.1147
mrfeelswildride,1403,25651,23,14802,421,182,18.283,0.221,0.0969,10205,52.746,3.5634,76523,326.747,22.0745,83.405,1.0419,1.1429,0.01,0.13,0.23,0.563,183.9586
mrlindner,3379,19690,17,410,216,65,5.8272,3.4247,0.2752,5,0.038,0.0927,3628688,13171.424,32125.4244,125.303,10.5331,1.7463,0.20,0.10,0.27,0.946,12460.1671
MrNHendrix,2725,3422,86,3555,978,43,1.2558,0.3237,0.0738,219,7.281,2.0481,28670,63.523,17.8686,107.264,34.3097,1.9189,0.59,0.14,0.27,0.505,32.0791
MrsAshburysWorl,235,638,110,87,316,1,2.7149,1.7574,0.8298,15,0.841,5.6552,2533,11.3675,76.4368,125.0889,42.7764,2.835,0.35,0.12,0.71,0.7829,8.8996
MrShortFry,3367,3976,125,294,382,15,1.1809,0.6187,0.0172,18,0.713,2.4252,149956,573.694,1951.3401,110.806,16.6674,1.386,0.21,0.27,0.16,0.116,66.5485
msraynsford,2715,1479,48,360,105,15,0.5448,0.0843,0.0107,10,0.445,1.2361,39,0.353,0.9806,117.498,10.4544,1.2,0.02,0.20,0.84,0.146,0.0515
MTD_Jake,3559,5743,159,899,772,49,1.6137,1.9963,0.0405,166,2.497,2.7775,282918,1051.855,1170.0278,113.066,19.4237,1.463,0.16,0.10,0.59,0.329,346.0603
mttstntn,3001,4522,34,11143,194,69,1.5068,0.5098,0.0513,426,11.263,1.0108,3628688,5266.144,472.5966,86.276,18.9917,1.2018,0.11,0.10,0.22,0.45,2369.7648
Mumbrellanews,1194,12084,142,9080,1548,192,10.1206,0.2295,0.0394,86,0.842,0.0927,18,0.74,0.0815,116.295,8.9467,1.1481,0.05,0.77,0.94,0.396,0.293
MurderHoboShow,428,1124,82,170,133,2,2.6262,0.722,0.1332,14,1.195,7.0294,1603,3.43,20.1765,94.053,12.4502,1.6947,0.10,0.09,0.51,0.182,0.6243
muscularpikachu,2826,13989,136,2617,890,64,4.9501,8.9345,0.0435,1264,10.895,4.1632,14937,69.685,26.6278,82.31,28.3044,1.1471,0.03,0.05,0.31,0.271,18.8846
Muse_elle,2040,604,156,263,351,14,0.2961,0.4662,0.2044,43,0.5008,1.1407,31848,125.1603,285.0608,115.2254,25.0715,1.5579,0.32,0.13,0.38,0.7613,95.2845
MuseWireMag,1207,199,36,62,23,2,0.1649,0.0025,0.0133,8,0.3216,1.0323,3426,21.2714,68.2742,116.6332,9.5628,1.4722,0.36,0.03,0.92,0.206,4.3819
MusicTalks_xyz,1169,20512,156,19406,14498,287,17.5466,17.7938,0.1069,35,4.051,0.2087,40583,46.24,2.3828,116.803,23.3733,1.7335,0.32,0.17,0.67,0.589,27.2354
muskrat_john,3757,136189,160,18483,987,1182,36.2494,12.0958,0.1166,144,5.014,0.2713,128108,543.569,29.4091,98.812,15.1133,1.3882,0.09,0.15,0.38,0.596,323.9671
musosguide,3434,22680,104,3579,2665,118,6.6045,0.1401,0.0612,8,0.407,0.1137,7542,14.677,4.1009,111.285,10.9084,1.381,0.21,0.05,0.78,0.326,4.7847
Mustang_Chorale,1045,294,0,223,318,1,0.2813,1.1321,0.2144,30,1.8328,2.4081,23838,144.6109,190.0045,116.4334,45.5584,1.4034,0.41,0.49,0.16,0.9113,131.7839
MuulUsa,46,29,0,13,139,0,0.6304,0.087,0.0,2,0.9231,1.8462,2,0.5,1.0,123.6923,10.0212,3.0,0.92,0.12,0.85,0.4615,0.2308
muz4now,3316,201347,134,228036,156224,3213,60.7198,0.0036,0.0078,37,2.327,0.0102,39,0.978,0.0043,101.111,21.9498,1.6789,0.38,0.30,0.69,0.361,0.3531
Mvettemagred,395,334,96,19,32,1,0.8456,1.8886,0.0076,21,1.3806,21.0,180,0.8651,13.1579,88.5017,24.281,1.0,0.08,0.10,0.20,0.0554,0.0479
mylin1,2763,18965,142,2355,1614,60,6.8639,7.4408,0.0275,34,2.036,0.8645,11969,12.834,5.4497,74.522,32.9783,1.2059,0.03,0.20,0.17,0.159,2.0406
mystikka,3740,3234,124,1910,1567,43,0.8647,0.6067,0.0572,6,0.284,0.1487,98516,734.564,384.5885,95.641,16.0783,2.6328,0.46,0.10,0.64,0.252,185.1101
MythicGamesMG,644,327,159,744,108,13,0.5078,0.6708,0.3121,26,2.15,0.9247,54,2.6719,1.1492,121.2031,18.5361,1.6212,0.41,0.19,0.32,0.8063,2.1543
MyTopKS,1322,1495,76,1394,1567,26,1.1309,1.3548,0.0053,10,0.814,0.5839,5,0.082,0.0588,107.455,27.8687,1.8696,0.02,0.01,0.99,0.062,0.0051
nabdigitaI,2852,162,89,228,483,2,0.0568,0.0827,0.0217,3,0.078,0.0482,8316,71.4468,44.1842,116.9007,22.2604,1.619,0.15,0.04,0.33,0.4468,31.9224
NaeKhen,2502,15170,150,162,308,2,6.0631,1.9888,0.1922,68,0.474,2.9259,514068,9011.721,55627.9074,97.992,4.3088,1.1519,0.08,0.23,0.23,0.501,4514.8722
NaijaHitsFM,747,245162,155,3236,0,24,328.1954,1.8166,0.0,29,0.364,0.1125,7,0.219,0.0677,114.716,7.1096,3.804,1.00,0.00,1.00,0.166,0.0364
nametoobasque,923,1148,106,136,366,11,1.2438,1.675,0.5125,16,0.289,2.125,175684,2276.881,16741.7721,99.85,1.7729,1.5918,0.05,0.20,0.40,0.488,1111.1179
nancyjcohen,3101,59935,104,7324,6734,603,19.3276,0.7159,0.0248,6,0.259,0.0354,18,0.562,0.0767,119.345,5.3953,1.6684,0.78,0.31,0.95,0.291,0.1635
