screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score
bantonframework,2104,7567,84,3301,2683,189,3.5965,8.913,0.0413,8,0.551,0.1669,75193,94.403,28.5983,117.077,20.3554,1.93,0.10,0.47,0.86,0.166,15.6709
BarberHynkel,200,250,108,89,539,3,1.25,0.375,0.17,5,0.2975,0.809,21,0.814,2.2135,109.3719,23.4964,1.6044,0.38,0.01,0.81,0.186,0.1514
BaRPiGgame,764,2573,156,406,397,30,3.3678,2.627,0.2579,28,1.675,4.1256,23758,97.137,239.2537,113.746,25.223,3.5666,0.53,0.14,0.73,0.461,44.7802
Bayo1000,2571,1003,142,1040,709,0,0.3901,0.044,0.056,104,0.8469,0.7875,1701728,2899.0228,2695.5337,94.849,4.8062,1.7202,0.20,0.20,0.52,0.2958,857.5309
BBCSport,2666,353043,138,7425733,283,19502,132.4242,0.2674,0.1527,2357,118.572,0.016,6235,78.807,0.0106,131.91,9.431,2.0217,0.51,0.15,0.69,0.999,78.7282
BBStartups,1567,9566,143,647,908,58,6.1047,0.0006,0.0,3,0.098,0.1515,3,0.026,0.0402,111.614,-9.0721,1.2878,0.14,0.00,1.00,0.023,0.0006
BDGTom,139,12,60,475,14,2,0.0863,0.0,0.0,15,6.0,0.1011,215,27.875,0.4695,95.625,-41.5425,0,0.00,0.38,0.75,0.625,17.4219
BeardWags,1243,1227,122,423,1042,16,0.9871,0.0636,0.0708,45,0.508,1.2009,1681,4.049,9.5721,112.271,25.7836,2.7929,0.59,0.09,0.34,0.289,1.1702
beastsofwar,3386,30316,106,15417,73,308,8.9533,0.272,0.0056,56,7.263,0.4711,40,2.045,0.1326,134.345,15.3396,1.225,0.36,0.02,0.96,0.633,1.2945
Beatrice_Elaine,2406,2556,59,452,809,9,1.0623,0.9913,0.0532,14,0.901,1.9934,40071,147.074,325.385,83.008,10.4096,1.4976,0.21,0.16,0.17,0.234,34.4153
beckitrain,3545,6086,144,2633,2534,317,1.7168,0.3523,0.213,12,0.283,0.1075,209615,603.042,229.0323,123.051,27.0265,2.0903,0.60,0.16,0.56,0.82,494.4944
BecomingSchultz,94,310,83,199,177,2,3.2979,0.7872,0.1489,20,0.4855,0.4221,27,0.7688,0.6683,109.6127,25.4775,4.0946,0.43,0.04,0.80,0.1503,0.1155
behindtheindies,143,838,160,325,300,3,5.8601,5.3217,1.7483,23,2.3499,5.2492,193,4.8003,10.7231,130.949,30.1674,2.2612,0.59,0.03,0.62,0.741,3.557
BeholderStudios,173,251,99,40,64,0,1.4509,0.0173,0.0058,12,0.629,3.475,5,0.2579,1.425,96.1131,9.426,2.2222,0.08,0.03,0.93,0.1131,0.0292
bennetbieck,3392,243,88,304,650,9,0.0716,0.1725,0.0094,12,0.6736,0.5362,6635,59.0083,46.9737,107.4587,14.5112,5.0733,0.62,0.16,0.70,0.3884,22.9188
BescentOfficial,1166,1386,138,2527,402,190,1.1887,1.2136,0.6261,28,0.516,0.2042,2343,7.987,3.1607,129.291,10.9396,1.9113,0.50,0.09,0.32,0.843,6.733
BestAppAwards,2026,1648,95,11213,9714,138,0.8134,0.3396,0.0518,12,1.172,0.1045,164,0.808,0.0721,117.824,50.0417,1.7494,0.42,0.10,0.73,0.335,0.2707
BestCrowdFundng,1232,34554,147,3012,3386,100,28.0471,0.1339,0.0,2,0.026,0.0086,2,0.016,0.0053,125.918,28.4858,1.0,0.49,0.00,1.00,0.015,0.0002
bestplayco,833,1990,35,2085,352,20,2.389,0.7599,0.1128,30,0.692,0.3319,326,2.007,0.9626,107.852,30.478,1.3077,0.05,0.28,0.81,0.266,0.5339
bethanyar26,3552,8800,149,296,888,3,2.4775,3.5222,0.1213,298,1.132,3.8243,499950,9846.141,33263.9899,104.182,15.7925,1.2151,0.19,0.09,0.32,0.498,4903.3782
BettaGamesHQ,875,3525,147,726,692,17,4.0286,3.8846,0.4103,131,2.856,3.9339,115190,355.104,489.124,113.681,14.1214,3.0094,0.42,0.27,0.39,0.507,180.0377
beyondbasicspt,3082,4221,150,1479,1112,52,1.3696,1.524,0.0243,21,1.281,0.8661,6192,7.336,4.9601,135.738,12.7303,2.3472,0.77,0.03,0.89,0.28,2.0541
beziergames,1922,5616,159,12560,191,342,2.922,4.3033,0.1322,175,4.6,0.3662,303,2.025,0.1612,112.833,39.5785,1.5919,0.47,0.12,0.47,0.568,1.1502
BG_Heaven,1027,255,0,53,45,1,0.2483,0.2532,0.0185,16,0.8025,3.6792,441,4.6296,21.2264,109.4156,22.7864,1.5306,0.20,0.12,0.79,0.2716,1.2574
bgamegiveaway,1152,1559,30,11872,671,36,1.3533,0.2266,0.0495,22,1.874,0.1579,9408,44.994,3.7899,113.876,18.6556,2.8433,0.73,0.04,0.94,0.467,21.0122
BgwNiramas,610,915,149,540,716,9,1.5,0.3885,0.0525,6,0.8499,1.3944,49,0.2765,0.4537,96.8488,19.0936,2.2969,0.14,0.01,0.92,0.0756,0.0209
bigbadcon,2892,4378,82,1393,1869,46,1.5138,1.3423,0.213,59,1.892,1.3582,61269,63.94,45.9009,115.185,30.0103,1.2716,0.16,0.08,0.33,0.75,47.955
BigBadLex,3193,377,125,147,121,6,0.1181,0.1165,0.006,32,2.1917,5.0544,11,0.4218,0.9728,104.3717,21.3904,1.7857,0.04,0.12,0.62,0.1711,0.0722
bigdaddyj,3955,2105,79,316,133,37,0.5322,0.0187,0.0003,9,0.059,0.1867,100733,100.751,318.8323,48.505,0.9156,1.3571,0.01,0.00,0.99,0.008,0.806
Bigdoglove630,1773,3463,143,784,1079,17,1.9532,2.7287,0.2775,24,0.995,1.2691,5796,33.662,42.9362,114.503,31.0778,2.4828,0.58,0.11,0.44,0.67,22.5535
bikepackingcom,2364,1207,152,6217,393,132,0.5106,0.2728,0.0021,102,10.566,1.6995,26,2.835,0.456,124.954,16.3412,1.0642,0.30,0.35,0.91,0.723,2.0497
bikeradar,3527,33571,134,142783,3373,3036,9.5183,0.5512,0.0079,404,11.261,0.0789,406,3.225,0.0226,107.27,15.8648,1.0556,0.04,0.51,0.97,0.734,2.3671
birdnfox,128,1075,147,113,171,0,8.3984,17.2891,2.0391,12,0.6949,5.7434,150082,778.9604,6438.4867,90.8961,19.3497,1.5143,0.07,0.12,0.40,0.3266,254.4085
bitcoinsguide,409,7902,160,1085,173,21,19.3203,0.0416,0.0,54,0.438,0.4037,21,0.153,0.141,138.884,11.8523,2.3333,0.01,0.00,0.99,0.08,0.0122
bjepson,4192,11810,126,6769,6633,399,2.8173,0.5988,0.1846,17,0.435,0.0643,37149,164.374,24.2834,117.308,22.6432,1.7598,0.36,0.20,0.29,0.818,134.4579
bjmgraphics,2229,18330,159,159,23,6,8.2234,2.9475,0.1925,15,0.193,1.2138,65299,3164.773,19904.2327,122.173,3.157,1.6667,0.09,0.06,0.41,0.465,1471.6194
BlackHeartPress,2592,2266,37,1187,345,40,0.8742,1.7886,0.0876,10,0.578,0.4869,138353,1177.568,992.0539,94.601,14.5784,1.694,0.18,0.08,0.36,0.282,332.0742
blahblahgames,944,1128,132,2421,5001,47,1.1949,2.5011,0.3856,12,0.742,0.3065,1707,8.839,3.651,117.207,25.4063,1.9855,0.34,0.12,0.54,0.452,3.9952
blakespot,3812,61259,160,7464,454,384,16.07,2.8279,0.0456,39,1.579,0.2115,65064,194.403,26.0454,94.955,13.5668,2.1627,0.21,0.15,0.43,0.29,56.3769
blasianFMA,3722,61699,86,1377,243,64,16.5768,3.4242,0.0344,112,1.508,1.0951,169983,851.314,618.2382,95.061,10.6408,1.2524,0.21,0.13,0.43,0.213,181.3299
blocbybloc,1189,262,146,420,523,14,0.2204,0.1009,0.0193,28,1.739,1.031,137,1.992,1.181,116.3373,25.3806,1.3294,0.34,0.28,0.53,0.3855,0.7679
blogsNcoffee,867,2798,71,416,520,10,3.2272,0.1707,0.0807,7,0.476,1.1442,69396,139.356,334.9904,83.603,2.5549,2.0732,0.04,0.04,0.88,0.342,47.6598
BloomWatcher,732,12511,83,214,2,25,17.0915,0.0055,0.0,5,0.054,0.2523,3,0.075,0.3505,125.424,8.4259,1.001,1.00,1.00,1.00,0.069,0.0052
BlueDartTweets,1006,27861,75,5649,188,19,27.6948,0.6074,0.0179,9,0.062,0.011,6,0.069,0.0122,127.209,48.7012,2.1667,0.02,0.00,0.62,0.026,0.0018
Blueflamemagick,2637,24928,122,702,387,42,9.4532,0.0747,0.0197,32,1.385,1.9729,45704,206.288,293.8575,102.661,10.8369,1.1111,0.03,0.07,0.19,0.119,24.5483
Bluehenbins,1659,737,42,281,145,9,0.4442,0.3032,0.1296,8,0.6885,1.7936,1679,6.6981,17.4484,106.0027,39.5221,1.6833,0.33,0.22,0.22,0.4699,3.1474
BluffCreekElem,1248,1048,0,271,39,3,0.8397,0.0841,0.1378,50,2.554,9.4244,50,0.624,2.3026,100.175,35.3274,1.2,0.09,0.84,0.11,0.35,0.2184
BoardCrazyGames,420,219,124,198,553,2,0.5214,0.2048,0.0024,10,1.4645,1.5606,249,1.7109,1.8232,133.6161,28.2483,1.5071,0.66,0.00,0.94,0.4171,0.7136
Boardgame_girl1,399,3704,158,2342,425,47,9.2832,23.4536,0.0251,135,5.148,2.1981,23683,23.856,10.1862,106.831,34.7261,1.7435,0.35,0.07,0.42,0.111,2.648
BoardGameAcad,449,32135,0,1234,334,18,71.5702,3.1782,2.0757,8,0.056,0.0454,46,1.919,1.5551,131.048,18.4885,2.5268,0.75,0.10,0.40,0.953,1.8288
BoardGameBook,117,312,99,614,3348,4,2.6667,1.3162,0.5897,38,2.1678,1.0309,133,2.7671,1.316,119.7603,36.0418,1.4062,0.11,0.07,0.61,0.5205,1.4403
BoardGameChick,2111,719,140,466,683,10,0.3406,0.8389,0.027,129,2.5174,2.9442,112936,239.4624,280.0579,102.2459,31.1889,1.6796,0.19,0.21,0.37,0.1927,46.1444
boardgamelinks,1662,37071,139,5186,188,203,22.3051,3.3303,0.0108,13,1.135,0.2189,11,0.179,0.0345,88.106,10.8652,2.0,0.00,0.00,0.99,0.143,0.0256
boardgamerev,701,1323,148,6657,4556,50,1.8873,0.3638,0.1441,88,1.816,0.2728,661,9.747,1.4642,104.275,27.2575,1.98,0.35,0.16,0.82,0.309,3.0118
boardgamerpinup,984,9045,106,4287,782,123,9.1921,13.9959,0.0346,188,8.3,1.9361,1039,1.884,0.4395,103.728,40.1032,1.2791,0.04,0.07,0.41,0.188,0.3542
BoardGames_TT,408,2189,53,44,12,4,5.3652,0.0,0.0,4,0.251,5.7045,4,0.28,6.3636,83.027,4.9526,1.0,1.00,0.00,1.00,0.251,0.0703
Boardgametruckr,703,1466,63,539,791,12,2.0853,21.6629,0.0996,38,2.085,3.8683,84483,126.306,234.334,97.357,30.3663,1.2407,0.05,0.15,0.25,0.121,15.283
bobbychiu,3407,13076,79,30099,238,951,3.838,1.4963,0.0731,1684,24.854,0.8257,52518,132.249,4.3938,94.623,32.4856,1.56,0.20,0.29,0.53,0.666,88.0778
BoingBoing,4069,224081,34,235562,2175,13155,55.0703,3.565,0.0573,1508,10.195,0.0433,66381,240.827,1.0224,118.036,3.017,1.0484,0.06,0.48,0.89,0.864,208.0745
BoldBebo,2325,15122,142,3257,1538,50,6.5041,10.8176,0.1871,766,7.469,2.2932,201741,3586.446,1101.1501,104.294,11.4054,1.2105,0.02,0.11,0.24,0.51,1829.0875
BoLSNEWS,3261,45104,62,16445,3443,319,13.8313,0.0739,0.0227,34,1.424,0.0866,167,1.474,0.0896,77.245,0.3242,1.76,0.05,0.05,0.93,0.266,0.3921
Bombastic_World,1002,10617,105,24399,9403,271,10.5958,12.3184,0.9291,1758,2.546,0.1043,534124,2145.008,87.9138,113.346,18.4457,2.4797,0.47,0.48,0.10,0.957,2052.7727
BookishLinda,797,975,146,95,239,0,1.2233,4.4203,0.5056,310,1.3828,14.0316,148105,1137.8672,11546.3579,120.7853,25.7074,1.3813,0.14,0.12,0.28,0.5062,575.9884
booksatkerouac,2522,6596,87,987,1261,15,2.6154,2.3418,0.1455,17,0.964,0.9767,611732,1455.727,1474.9007,107.002,3.8848,1.7455,0.06,0.14,0.36,0.433,630.3298
BookSizzle,1448,47972,160,185925,132927,803,33.1298,0.7548,0.0062,6,0.692,0.0037,42,0.615,0.0033,139.674,23.1639,2.503,0.33,0.00,0.99,0.33,0.203
Booktrust,3442,40784,60,66205,3267,1261,11.8489,8.1685,0.0625,364,8.063,0.1218,290,6.03,0.0911,115.79,47.4408,1.184,0.33,0.01,0.62,0.673,4.0582
BookTweepz,1429,40077,154,188468,127832,705,28.0455,0.823,0.0,6,0.569,0.003,10,0.523,0.0028,139.509,17.5166,2.2425,0.33,0.00,1.00,0.32,0.1674
bossfan2000,3489,3735,102,1003,1326,116,1.0705,0.0519,0.0843,9,0.223,0.2223,676936,963.925,961.0419,95.318,10.0428,1.3657,0.13,0.06,0.66,0.331,319.0592
Bovarrowatches,670,282,111,95,192,15,0.4209,0.3955,0.1179,5,0.3559,1.0526,14902,218.6228,646.6632,117.1174,33.463,2.838,0.51,0.15,0.79,0.395,86.356
bradleygleeson,3301,203,147,364,691,18,0.0615,0.027,0.0094,7,0.8374,0.467,222,3.9409,2.1978,126.601,44.8593,1.6182,0.27,0.06,0.62,0.335,1.3202
bragrman,456,2206,150,692,1432,8,4.8377,8.4978,0.1513,3075,4.857,7.0188,124875,505.901,731.0708,106.491,9.1551,1.1951,0.08,0.07,0.49,0.13,65.7671
