screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
CosplayDeviants,3401,19513,98,35592,149,373,5.7374,1.1829,0.0967,484,59.421,1.6695,127,7.061,0.1984,120.778,29.8175,1.8258,0.13,0.10,0.59,5.8677,1
Country_Words,2367,56914,117,1039010,803,871,24.0448,0.3156,0.0494,3443,416.666,0.401,1477,141.879,0.1366,96.468,22.7731,1.2273,0.02,0.07,0.11,141.3115,1
CourseHorse,2801,2412,102,2476,940,84,0.8611,0.3281,0.065,11,0.358,0.1446,345,1.212,0.4895,104.206,33.9556,1.4549,0.23,0.10,0.49,0.3842,0
CraigPetersenNZ,3033,644,158,305,478,12,0.2123,0.8101,0.0277,25,2.0933,4.4131,32235,151.3219,319.0164,123.0124,37.077,2.3907,0.47,0.15,0.61,64.0092,0
CrazyBrdGameGuy,498,51,156,367,656,7,0.1024,0.3293,0.0,11,1.5098,0.2098,2,0.1961,0.0272,107.3922,37.0592,1.9091,0.22,0.12,0.63,0.0308,0
CrazyCactusEnt,2481,3946,88,587,1410,49,1.5905,2.0649,0.154,75,0.464,0.7905,506096,3513.453,5985.4395,105.325,14.4892,1.7565,0.19,0.17,0.49,1496.731,0
creakingshelf,1095,8407,53,2422,1105,91,7.6776,4.3279,0.0612,65,2.674,1.104,65064,147.593,60.9385,95.814,23.7294,1.28,0.03,0.08,0.40,24.648,0
Cringer63,3344,21792,97,1098,761,26,6.5167,2.0353,0.0332,52,3.103,2.826,75872,100.435,91.4709,109.148,16.0592,1.2941,0.05,0.13,0.51,21.0913,0
crit4brains,1321,3215,90,446,287,26,2.4338,2.4262,0.0825,149,1.869,4.1906,136956,153.307,343.7377,88.864,21.33,1.5337,0.19,0.12,0.33,38.4801,0
CrocOclock,3245,10319,142,828,366,4,3.18,3.7627,0.0022,267,3.934,4.7512,5960,10.397,12.5568,110.881,16.2967,2.5418,0.32,0.26,0.50,2.776,0
Crowd_Fund_Pro,1399,2419,134,32415,772,39,1.7291,1.2723,0.0,110,3.206,0.0989,57,1.529,0.0472,138.237,31.3074,1.6643,0.14,0.01,1.00,0.2431,0
CrowdCBoost,3394,379215,110,6314,5,1094,111.731,0.2437,0.0,3,0.075,0.0119,2,0.02,0.0032,92.403,8.0168,1.5476,0.92,0.00,1.00,0.0003,0
Crowdfindly,1085,6298,129,4726,5222,46,5.8046,4.5152,0.0018,5,0.257,0.0544,3,0.079,0.0167,109.16,43.7712,2.0411,0.36,0.20,0.99,0.0054,0
crowdfindly2,1087,9454,91,4965,5411,71,8.6973,6.2484,0.0,12,0.166,0.0334,3,0.045,0.0091,104.641,46.149,1.7681,0.28,0.18,1.00,0.0017,0
Crowdfund_Promo,1373,16852,152,145216,29971,893,12.2739,18.3423,0.0029,16,1.257,0.0087,157571,158.265,1.0899,136.492,16.8576,6.4718,0.99,0.00,0.99,73.1184,0
crowdfundcash,1112,124129,158,304585,277419,229,111.6268,1.9191,0.0,5,0.326,0.0011,4,0.282,0.0009,130.828,39.8569,6.552,1.00,0.24,0.98,0.066,0
CrowdfundCentre,1887,199259,158,26512,17959,1199,105.5957,0.3492,0.0,5,0.222,0.0084,4,0.202,0.0076,116.335,12.4621,1.928,0.96,0.10,0.99,0.0362,0
crowdfundedco,652,155,146,76,12,11,0.2377,3.023,0.0,10,1.1633,2.25,5,0.5578,1.0789,131.4558,14.2233,3.38,0.34,0.03,0.97,0.1897,0
crowdfundingbck,905,1022,86,195,56,11,1.1293,0.3337,0.0796,12,0.4451,2.2462,8,0.4746,2.3949,55.1585,4.2407,2.2857,0.01,0.63,0.98,0.0796,0
crowdfundingpr_,1858,7090,100,14177,15414,264,3.8159,4.7164,0.0,5,0.333,0.0235,4,0.086,0.0061,84.22,14.038,1.5286,0.07,0.08,1.00,0.0059,0
CrowdfundLaunch,1193,10660,132,6246,74,527,8.9355,0.0478,0.4845,15,0.098,0.0157,5715,41.352,6.6206,126.739,21.4346,2.59,0.72,0.04,0.73,26.2585,0
CrowdRanger,872,7396,151,5314,54,335,8.4817,0.0069,0.6525,5,0.073,0.0137,80244,135.708,25.5378,127.376,19.6675,2.5681,0.72,0.05,0.73,83.0533,0
cruel_diagonals,1252,2023,154,462,893,7,1.6158,5.774,0.3171,158,2.524,5.4632,351826,2215.498,4795.4502,95.081,13.283,1.4138,0.06,0.10,0.28,1083.3785,0
CryptoCrazyCat,862,1133,0,77,221,0,1.3144,1.7401,0.9838,9,0.0964,1.2208,17754,138.4985,1753.7143,116.5026,14.7316,2.4226,0.44,0.13,0.30,123.3052,1
CthulhuBen,2996,1993,0,60,107,1,0.6652,0.1605,0.0374,38,0.721,12.0167,355137,1001.398,16689.9667,109.915,9.2185,1.1509,0.05,0.04,0.44,142.1985,0
Cube_your_Life,175,486,142,778,1113,3,2.7771,2.6971,0.2971,34,2.3282,1.3496,413,3.4678,2.0103,120.4568,14.5464,2.9907,0.24,0.03,0.74,2.0377,0
cultofmac,3898,68941,79,792065,345,11556,17.6862,0.0913,0.0008,88,11.225,0.0142,32,3.776,0.0048,116.994,8.0182,0,0.00,0.56,0.99,3.3569,1
curiopuppeteer,319,1999,157,148,320,0,6.2665,0.4577,0.0376,5,0.142,0.9595,117,0.406,2.7432,97.927,5.3449,1.0,0.00,0.08,0.21,0.0146,0
curium247,2965,21007,152,763,407,67,7.085,14.741,0.198,45,1.32,1.73,163451,2282.518,2991.5046,108.443,23.1217,1.4831,0.12,0.10,0.26,1422.0087,0
CushWakeBAYarea,2165,6445,151,2212,1985,178,2.9769,0.5427,0.2434,11,0.721,0.3259,472,6.437,2.91,130.516,14.0288,1.6232,0.48,0.30,0.74,4.8471,0
