screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
eddyfate,4063,1301,146,3726,1119,216,0.3202,4.3141,0.0879,45,1.501,0.4028,158950,1657.406,444.8218,95.169,12.0956,1.4157,0.09,0.15,0.3,0.41,679.5365,58,,
SimpleWonders82,1127,54707,118,1784,1898,29,48.5421,13.9645,0.3531,49,1.54,0.8632,211507,1467.639,822.6676,116.795,-5.2363,1.6216,0.04,0.04,0.41,0.457,670.711,63,,
ThatAndromeda,3099,76859,154,5781,1737,471,24.8012,0.3156,0.0881,180,2.412,0.4172,517236,2034.879,351.9943,103.076,16.9124,1.3077,0.07,0.16,0.17,0.328,667.4403,54,,
DavidGallaher,3958,69218,157,13707,8832,622,17.4881,12.8603,0.122,286,3.333,0.2432,138264,1004.086,73.2535,102.46,24.2251,1.3491,0.21,0.2,0.31,0.648,650.6477,66,,
GamesShed,2333,45144,165,23784,6493,245,19.3502,6.1342,0.072,84,2.699,0.1135,861537,1286.848,54.1056,103.066,26.0137,2.0356,0.28,0.16,0.54,0.497,639.5635,54,,
NoaTugy,990,21830,160,633,2004,18,22.0505,83.2384,0.3828,7,0.306,0.4834,159449,1634.257,2581.7646,89.418,15.4178,1.5094,0.11,0.18,0.17,0.388,634.0917,47,,
booksatkerouac,2522,6596,87,987,1261,15,2.6154,2.3418,0.1455,17,0.964,0.9767,611732,1455.727,1474.9007,107.002,3.8848,1.7455,0.06,0.14,0.36,0.433,630.3298,51,,
cbsa82,1009,86529,159,5554,722,213,85.7572,176.2289,0.7185,153,2.831,0.5097,111706,786.837,141.6703,121.921,25.2989,1.75,0.29,0.1,0.3,0.801,630.2564,73,,
peter_gillet,620,5063,68,219,233,2,8.1661,52.7774,0.6371,49,0.812,3.7078,155239,1396.422,6376.3562,102.459,14.0154,1.472,0.16,0.07,0.34,0.451,629.7863,44,,
darrenc777,2626,7755,0,81,27,4,2.9532,0.4646,0.0906,21,0.373,4.6049,1164172,2262.314,27929.8025,94.663,2.6752,1.3457,0.16,0.08,0.26,0.275,622.1364,31,,
