screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score
alissakmclean,1850,47596,125,1384,3086,10,25.7276,66.5568,0.2562,62,0.931,0.6727,115939,1535.965,1109.8013,120.774,3.1149,1.4878,0.08,0.04,0.44,849.3886
AllArduino,1473,55337,31,2544,50,125,37.5675,0,0,5,0.358,0.1407,2,0.088,0.0346,86.508,7.1305,1,1,0,1,0.007
alleycatgames,805,1811,158,1229,1447,28,2.2497,2.0634,0.0634,76,2.801,2.2791,1755,3.467,2.821,92.139,36.5332,1.7241,0.03,0.1,0.28,0.5027
alpoma,3832,18865,152,3794,1291,337,4.923,0.5465,0.0368,81,1.848,0.4871,226,2.696,0.7106,96.125,3.9913,1.6157,0.26,0.12,0.76,1.3992
alysiareiner,3305,13798,77,44409,480,392,4.1749,3.0145,0.1419,446,8.346,0.1879,149932,2784.427,62.6996,116.895,23.3137,1.3689,0.31,0.07,0.58,2503.1999
amandamakepeace,3677,34608,154,2001,745,221,9.412,4.3258,0.0715,39,2.169,1.084,378922,571.436,285.5752,101.682,32.9622,1.7988,0.17,0.14,0.38,227.4315
amandarivkin,2827,89924,124,4331,4054,218,31.809,5.5055,0.0679,237,0.796,0.1838,34802,238.723,55.1196,116.046,-8.244,1,0.02,0.03,0.74,82.8369
amartino,4124,152807,124,28001,184,1259,37.0531,3.3943,0.0759,224,2.207,0.0788,128965,1604.343,57.2959,96.534,4.5634,1.619,0.04,0.1,0.36,709.1196
AmberNLyon,1744,1303,97,199,352,5,0.7471,1.3148,0.3687,14,0.484,2.4322,1701286,14883.215,74790.0251,107.296,16.7985,1.3986,0.28,0.18,0.24,10001.5205
anatotitan,3610,45171,126,3483,2224,240,12.5127,3.8172,0.1305,1137,4.406,1.265,105834,436.794,125.4074,109.798,20.2109,1.4883,0.21,0.16,0.33,267.7547
andevers,3414,74999,159,12820,4045,479,21.9681,19.0422,0.0709,369,4.3,0.3354,142342,404.888,31.5825,97.265,19.8487,1.1333,0.03,0.07,0.41,148.9988
