screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
Kickstartech,1433,29861,85,168,3,36,20.8381,0,0,3,0.027,0.1607,2,0.009,0.0536,64.692,9.9552,1,0,0,1,0.008,0
Domotique34,2099,31565,127,4423,3195,212,15.0381,0.1058,0,5,0.122,0.0276,2,0.102,0.0231,94.166,4.6652,1.2857,0.04,0.36,1,0.093,0
CCFC_jules,2122,38129,150,7028,2635,50,17.9684,22.9425,0.0862,172,3.598,0.512,414496,591.744,84.1981,72.041,17.6111,1.7273,0.12,0.2,0.14,0.292,0
HealthyVoyager,3586,39736,149,109310,5558,762,11.0809,0.0206,0.0059,10,0.354,0.0032,29,0.206,0.0019,109.708,26.9317,1.5984,0.25,0.52,0.98,0.083,0
GeekMomBlog,2898,41507,24,15671,484,596,14.3226,0.4434,0.0097,11,0.527,0.0336,23563,29.452,1.8794,86.655,4.8969,1.5714,0.04,0.01,0.98,0.136,0
GadgetFlow,2063,48126,160,121403,4068,1245,23.3282,3.9922,0.1032,31,1.102,0.0091,1764,12.971,0.1068,129.061,25.4124,1.203,0.53,0.13,0.83,0.926,1
MobileSyrup,3676,49393,144,92228,452,1860,13.4366,0.2304,0.0011,66,4.274,0.0463,32,1.448,0.0157,112.275,10.7047,2,0,0.94,0.99,0.567,1
hobonora,3376,53000,120,17486,14604,1139,15.6991,0.332,0.0056,14,1.023,0.0585,8,0.296,0.0169,114.114,22.5022,1.3913,0.12,0.62,0.97,0.219,0
AllArduino,1446,54405,31,2454,50,125,37.6245,0,0,5,0.358,0.1459,2,0.088,0.0359,86.508,7.1305,1,1,0,1,0.08,0
DB_Stokes,3228,63723,71,4457,4066,145,19.7407,1.952,0.1911,23,0.491,0.1102,3178,7.064,1.5849,135.696,25.9736,2.2677,0.79,0.25,0.62,0.81,1
gmaslsk,2168,68524,136,4617,5085,84,31.607,11.1661,0.4105,15,0.139,0.0301,107878,4075.328,882.6788,126.509,3.07,1.5909,0.11,0.08,0.23,0.955,1
virtadpt,2998,73255,139,1641,1493,259,24.4346,2.5564,0.2568,554,0.791,0.482,133660,2112.773,1287.4912,113.247,-0.4421,1.5227,0.09,0.09,0.26,0.805,1
designmilk,3607,75490,101,2328483,1349,17915,20.9287,0.7896,0.0089,268,41.939,0.018,89,10.727,0.0046,116.446,15.8102,1.0191,0.42,0.73,0.97,0.931,1
ariela_paul,1891,75720,156,12189,8348,165,40.0423,34.2649,0.4675,49,0.597,0.049,38968,951.661,78.0754,127.449,7.7338,1.7459,0.18,0.12,0.23,0.972,1
DTongSports,3193,95234,160,50665,16005,2818,29.8259,20.0467,0.1613,37,1.856,0.0366,185364,616.614,12.1704,126.942,16.8324,3.2604,0.68,0.04,0.62,0.752,1
cleebration,4042,98944,148,7224,4622,704,24.479,0.8137,0.0094,75,1.462,0.2024,131,0.477,0.066,118.411,23.2448,1.3647,0.34,0.01,0.87,0.076,0
ProductHunt,1651,105046,114,345887,28,5255,63.6257,44.8934,0.1254,1348,31.506,0.0911,97589,177.303,0.5126,100.385,21.9517,1.0392,0.05,0.51,0.74,0.808,1
rajupp,3524,110421,157,24094,1500,720,31.334,1.0959,0.0409,81,4.023,0.167,201708,479.795,19.9135,86.4,10.3817,1.2148,0.14,0.07,0.33,0.423,0
trendhunter,3935,119505,153,258107,3638,7700,30.3698,1.1787,0.0005,13,0.845,0.0033,18,0.438,0.0017,95.74,8.0871,1.0293,0.92,0.9,0.98,0.32,0
TheNextWeb,3830,154656,70,1849976,217,33159,40.3802,1.3705,0.0138,156,8.012,0.0043,30262,38.226,0.0207,91.805,5.4129,1.0131,0.15,0.03,0.93,0.948,1
HealthyWrld,2032,183756,79,23161,5693,157,90.4311,0.1718,0.0098,3,0.101,0.0044,30,0.5,0.0216,106.317,4.2548,1.0909,0.14,0.6,1,0.052,0
madil80,3408,189666,143,39482,174,1480,55.6532,2.2394,0.2641,105,0.149,0.0038,100214,605.878,15.3457,125.114,3.9924,1.7229,0.25,0.1,0.19,0.936,1
K_Kuota,3268,334803,104,2189,932,114,102.4489,0.2353,0.0272,37,0.507,0.2316,80584,596.252,272.3856,36.518,0.1553,2.3684,0.02,0.13,0.07,0.12,0
18dMedia,2425,425085,106,11403,4085,41,175.2928,0.0103,0.1621,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1,0,0.6,0.99,0.624,1
