screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
CCFC_jules,2118,38025,150,7032,2632,51,17.9533,22.9051,0.0869,172,3.559,0.5061,414275,587.862,83.5981,71.41,16.6362,1.7642,0.12,0.21,0.13,0.293,0
desototrack,649,116,62,40,37,0,0.1787,0.2203,0.0462,32,3.7845,10.975,1042,26.5172,76.9,103.7414,37.9679,1.2917,0.21,0.29,0.37,0.5862,1
harrierscroydon,3038,7699,124,2605,2365,58,2.5342,1.0112,0.1231,64,1.858,0.7132,612,3.88,1.4894,110.058,35.7784,1.264,0.20,0.18,0.38,0.618,1
KStateTFXC,928,3950,102,1680,178,18,4.2565,0.4116,0.0431,534,18.262,10.8702,164,4.583,2.728,128.914,20.6606,1.0686,0.55,0.10,0.73,0.784,1
MOvering,2582,14819,42,1968,649,17,5.7393,0.4307,0.0558,252,8.137,4.1347,103,2.807,1.4263,93.441,11.4865,1.0909,0.01,0.09,0.29,0.535,1
0pensource,3323,4863,121,6644,2677,403,1.4634,0.0698,0.0346,24,0.662,0.0996,8022,15.101,2.2729,109.179,18.0597,1.7132,0.66,0.04,0.94,0.482,0
TheOuterLinux,765,4505,69,271,402,300,5.8889,0.234,0.0118,5,0.272,1.0037,253,0.85,3.1365,107.294,8.919,3.0792,0.87,0.03,0.96,0.207,0
oakwoodmarket,2648,1655,156,2276,1127,53,0.625,0.159,0.1722,25,1.115,0.4899,128,3.262,1.4332,117.48,32.2034,1.639,0.20,0.16,0.39,0.805,1
Acoustic_Camera,986,51,160,109,339,2,0.0517,0.0375,0.0091,6,1.0392,0.4862,60,2.7255,1.2752,123.7647,24.55,1.8125,0.63,0.18,0.80,0.6471,1
thereverandnd,3172,10279,113,160,517,0,3.2405,0.0422,0.0177,691,0.798,4.9875,52696,229.58,1434.875,75.789,5.1592,1.2838,0.07,0.03,0.69,0.067,0
BloomWatcher,697,11872,83,207,2,25,17.033,0.0057,0.0,5,0.054,0.2609,3,0.068,0.3285,125.138,7.791,1.001,1.00,1.00,1.00,0.063,0
GadgetFlow,2059,48045,160,121380,4064,1246,23.3341,3.9932,0.0957,32,1.151,0.0095,1753,12.794,0.1054,129.57,25.1746,1.196,0.56,0.12,0.84,0.936,1
saralamnin,3317,1700,38,701,607,8,0.5125,0.1875,0.0335,20,1.295,1.8474,2317,5.564,7.9372,122.738,34.0217,1.3256,0.47,0.14,0.73,0.369,0
VotersEdge,2215,5267,142,1079,726,49,2.3779,0.9368,0.1562,18,0.783,0.7257,396,3.224,2.988,130.204,27.1798,1.5738,0.36,0.03,0.81,0.601,1
ScontiDaCinema,956,1299,48,4675,4400,15,1.3588,0.2312,0.0251,23,2.143,0.4584,10,1.51,0.323,118.334,1.5726,1.307,0.23,0.73,1.00,0.917,1
xDroidWorld,404,24,101,39,216,2,0.0594,0.0495,0.0124,2,0.3333,0.2051,2,0.75,0.4615,86.2917,13.6546,2.6,0.21,0.08,0.83,0.5417,1
