screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
D3DreamAndDo,2627,382,152,214,555,3,0.1454,0.0651,0.0788,35,0.7618,1.3598,6581,20.034,35.7617,120.5052,39.7032,1.9804,0.27,0.16,0.50,0.7513,1
daizycooperxxx,444,4680,155,15783,1499,81,10.5405,10.7748,0.6577,721,26.187,1.6592,135233,714.965,45.2997,89.983,10.1104,1.7765,0.09,0.29,0.31,0.578,1
datafaucet,3611,15479,55,5240,2016,172,4.2866,8.1113,0.0994,87,0.821,0.1567,196656,1728.71,329.9065,122.555,25.3382,2.0467,0.15,0.10,0.59,0.467,0
DcanDivaCreates,1778,1694,151,449,436,33,0.9528,0.0928,0.0107,8,0.346,0.7706,5428,6.658,14.8285,91.501,24.0741,2.4405,0.78,0.24,0.69,0.127,0
dcooneyart,3589,10365,74,1532,720,95,2.888,1.572,0.1089,36,1.777,1.1599,450826,1926.45,1257.4739,114.91,22.6194,2.371,0.31,0.20,0.48,0.628,1
DeadPhishOrch,2824,141,65,243,143,8,0.0499,0.0397,0.0255,5,0.5357,0.3086,6,1.0357,0.5967,125.4429,19.4639,1.8246,0.41,0.08,0.56,0.6429,1
druid_cat,2627,10330,148,2586,74,81,3.9322,1.5756,0.1218,56,1.691,0.6539,125896,1036.177,400.6872,110.975,26.4135,1.8256,0.20,0.11,0.39,0.436,0
dylandoodles,1662,210,147,73,267,1,0.1264,0.7172,0.0096,11,0.476,1.3562,83652,608.1202,1732.726,108.8221,22.3519,2.2192,0.35,0.27,0.39,0.1538,0
ericabuist,3163,18187,141,9231,3214,143,5.7499,1.8233,0.0326,235,5.978,0.6476,327287,1450.087,157.0888,103.098,11.3648,1.1176,0.02,0.13,0.42,0.295,0
EverythingC64,495,10329,146,7166,7172,59,20.8667,28.7657,1.8465,47,0.806,0.1125,5086,47.701,6.6566,128.274,17.2254,2.4179,0.59,0.26,0.19,0.981,1
Fatima_Gemini,3159,650,140,537,1041,17,0.2058,0.3159,0.1045,11,0.6481,0.7821,68845,531.338,641.1676,128.7238,45.3504,1.7282,0.32,0.03,0.74,0.7269,1
featureshoot,3374,40503,108,146047,2044,2457,12.0044,0.0765,0.0237,75,8.595,0.0589,52770,234.828,1.6079,137.955,10.5556,1.3469,0.27,0.02,0.94,0.811,1
Forgetful_Bacon,2572,3633,41,560,559,12,1.4125,0.6928,0.1769,111,1.408,2.5143,260278,4538.585,8104.6161,113.213,2.0681,1.2297,0.07,0.06,0.32,0.555,1
Formula5Music,2327,2457,51,1041,1104,11,1.0559,0.4572,0.144,16,1.11,1.0663,7708,9.094,8.7358,110.608,17.0051,1.6778,0.24,0.13,0.66,0.649,1
fran_wilde,4021,73802,160,8437,1890,352,18.3541,29.9458,0.0321,988,10.007,1.1861,149565,228.497,27.0827,77.53,21.6702,1.6949,0.06,0.06,0.31,0.314,0
GadgetFlow,2067,48184,160,121436,4069,1243,23.3111,3.9923,0.1074,31,1.05,0.0086,1766,15.224,0.1254,128.726,25.1419,1.2112,0.52,0.13,0.82,0.922,1
GeorgeSocially,1908,1575,114,214,292,6,0.8255,0.7568,0.2049,2644,3.507,16.3879,1142663,1893.35,8847.4299,95.598,15.8977,1.5771,0.35,0.32,0.28,0.509,1
ginger_mom17,370,2349,120,372,728,8,6.3486,7.3189,1.0459,15,0.616,1.6559,36159,62.128,167.0108,106.542,31.4417,1.6582,0.39,0.10,0.61,0.477,0
gregmishka,3438,39794,47,11642,1389,198,11.5748,0.5643,0.0227,80,3.295,0.283,107859,221.314,19.01,78.583,3.2994,1.1447,0.08,0.03,0.17,0.353,0
grumpyvegan,3412,15009,160,3581,1598,175,4.3989,0.522,0.0941,74,1.088,0.3038,60788,486.522,135.862,121.918,12.8865,1.5093,0.27,0.03,0.60,0.555,1
gusdoraisbook,184,78,131,35,102,1,0.4239,0.4891,0.0217,16,2.9481,6.4857,74,1.961,4.3143,125.8701,14.3526,1.0,0.01,0.06,0.83,0.6753,1
Guy_A_Rub,1534,516,149,632,332,12,0.3364,0.4231,0.0489,95,2.1066,1.7199,79552,366.281,299.0522,117.2054,21.1268,1.1648,0.18,0.04,0.52,0.4419,0
harryallen,3555,131275,85,21649,7252,712,36.9269,3.0307,0.097,299,2.665,0.1231,228368,2657.084,122.7347,105.27,5.1173,1.7115,0.05,0.16,0.70,0.616,1
highway_62,3364,180114,30,1750,1729,102,53.5416,12.17,0.0211,243,2.014,1.1509,120116,278.806,159.3177,88.158,1.7645,1.0714,0.01,0.05,0.27,0.168,0
HumanBeanHeals,435,6715,156,467,504,3,15.4368,17.6046,0.2483,478,3.981,8.5246,42681,137.022,293.409,108.152,9.8513,1.2222,0.03,0.04,0.43,0.194,0
IMAO_,3436,72336,154,19564,1360,1029,21.0524,8.6752,0.0809,13735,60.327,3.0836,161748,1835.516,93.8211,110.772,2.8999,1.5,0.01,0.10,0.49,0.699,1
iotecglobal,1729,2969,146,1595,487,130,1.7172,0.583,0.2302,19,1.322,0.8288,15692,19.549,12.2564,129.095,26.7075,1.9079,0.67,0.12,0.56,0.765,1
