screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
SocialSnowflake,1595,7032,140,16355,11362,332,4.4088,2.2082,0.094,15,0.745,0.0456,1047,4.677,0.286,97.398,33.7522,1.5124,0.45,0.15,0.45,0.363,0
SomambaCases,446,530,136,578,2590,4,1.1883,0.5493,0.1323,6,0.6094,0.5588,91,1.217,1.1159,76.9189,4.5643,0,0.00,0.94,0.80,0.5396,1
ssc_en,813,1674,85,6909,5204,174,2.059,0.5326,0.0492,9,0.405,0.0586,23,0.484,0.0701,110.429,21.4403,1.8171,0.08,0.71,0.98,0.199,0
stats_sl,99,127,65,93,82,0,1.2828,0.4444,0.3535,16,2.2756,3.1075,115,5.8268,7.957,128.0,17.2598,1.9583,0.19,0.20,0.63,0.9449,1
StealthoInfo,110,6777,84,2676,2938,39,61.6091,104.9364,6.6909,3,0.081,0.0303,202,2.145,0.8016,130.676,32.1905,2.4078,0.84,0.04,0.51,0.752,1
steamcrow,3644,24881,74,3794,1436,317,6.8279,0.0878,0.0148,36,3.16,0.8329,81377,178.443,47.0329,101.602,18.4213,1.7835,0.39,0.56,0.79,0.36,0
StoryQueen86,3350,19484,127,911,1910,38,5.8161,3.3893,0.1155,57,0.292,0.3205,168969,1154.803,1267.6213,88.183,17.9627,1.2627,0.35,0.23,0.39,0.441,0
TailgatingChall,2040,6088,152,21196,3206,106,2.9843,2.5936,0.0039,240,15.168,0.7156,513,26.793,1.2641,99.92,43.6255,1.5099,0.35,0.11,0.41,0.56,1
Texascopywriter,2886,45966,149,4288,3811,386,15.9272,13.604,0.1885,103,0.884,0.2062,54993,309.757,72.2381,101.039,15.6411,1.8222,0.09,0.05,0.26,0.597,1
text_publishing,3235,35201,147,23451,4848,680,10.8813,1.9453,0.127,513,6.863,0.2927,832,5.11,0.2179,116.944,25.9744,1.195,0.16,0.09,0.47,0.718,1
The_Coolector,1799,4198,93,2380,189,144,2.3335,0.1984,0.0039,176,1.543,0.6483,380063,515.121,216.4374,131.867,43.2173,1.3743,0.18,0.05,0.98,0.272,0
The_Crowds,1493,1338,0,11949,37,25,0.8962,0.0,0.0,65,2.196,0.1838,43,1.202,0.1006,138.404,32.2871,1.6619,0.14,0.01,1.00,0.21,0
theawesomer,3539,62087,88,14957,2098,638,17.5437,0.3153,0.0,89,0.613,0.041,15,0.237,0.0158,124.088,14.5266,1.8765,0.51,0.02,0.98,0.186,0
theblackdetour,405,4640,151,11615,9310,57,11.4568,0.1333,0.6667,2892,27.652,2.3807,1715,23.305,2.0065,102.371,4.7026,1.25,0.02,0.05,0.71,0.948,1
