screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
CCTV,3249,35581,77,585881,164,1054,10.9514,0.0049,0.0003,423,37.159,0.0634,121,12.446,0.0212,125.652,8.681,1.0779,0.15,0.4,0.63,12.334,1
Kidzcoolit,2752,35686,157,21375,3228,69,12.9673,1.8968,0.0814,53,2.631,0.1231,30151,61.765,2.8896,125.479,11.2125,1.5203,0.47,0.21,0.76,50.2149,1
dustinbschwartz,2057,36203,113,1456,522,50,17.5999,5.0194,0.017,54,2.983,2.0488,127602,263.833,181.204,99.366,24.5502,1.125,0.05,0.06,0.3,19.5236,0
boardgamelinks,1637,36900,139,5175,189,200,22.5412,3.3818,0.011,13,1.135,0.2193,11,0.179,0.0346,88.106,10.8652,2,0,0,0.99,0.0256,0
mockman,3773,37057,141,5257,3038,219,9.8216,9.9759,0.0411,68,2.092,0.3979,67522,161.436,30.7088,105.284,22.0606,1.3333,0.05,0.04,0.41,47.6236,0
tgn_news,3389,37468,0,13937,27,342,11.0558,0.0006,0,24,1.925,0.1381,10,0.508,0.0364,139.929,6.5181,0,0,0,1,0.1448,0
RealComicSutra,3260,37945,159,1665,1509,147,11.6396,0.2368,0.0304,35,0.453,0.2721,201057,852.098,511.7706,113.6,10.0084,1.4091,0.37,0.35,0.67,155.9339,0
katerussell,3779,38359,129,56051,1104,1744,10.1506,1.9611,0.0278,158,7.061,0.126,140,1.504,0.0268,87.776,33.6013,1.1103,0.14,0.16,0.4,0.582,0
HotTweetDeals,585,38406,0,80,59,212,65.6513,0.0017,0,1,0.006,0.075,1,0.005,0.0625,128.91,58.909,1.5346,0.62,0,0.3,0,0
InvisionGameCom,2439,38442,117,5846,785,314,15.7614,1.0824,0.025,15,1.034,0.1769,5927,14.158,2.4218,116.633,5.5225,3.3679,0.88,0.01,0.93,8.2966,0
Jipin,3382,38857,40,1456,910,40,11.4894,7.2673,0.0565,52,0.942,0.647,189443,1134.6,779.2582,89.633,15.3704,1.5368,0.1,0.19,0.22,237.1314,0
WealthyAardvark,2418,38925,45,93,430,10,16.098,22.4363,0.33,7,0.121,1.3011,162960,2399.619,25802.3548,89.488,12.7782,1.7802,0.09,0.5,0.14,1926.8941,1
EvesTitties,1824,39017,23,901,343,10,21.3909,10.1146,0.4337,20,0.134,0.1487,293608,16519.548,18334.6815,88.775,-4.9506,1.25,0.02,0.26,0.37,13364.3143,1
BookTweepz,1404,39281,154,189142,128521,704,27.9779,0.8383,0,6,0.569,0.003,10,0.523,0.0028,139.509,17.5166,2.2425,0.33,0,1,0.1674,0
Booktrust,3417,39344,60,65291,3265,1251,11.5142,7.7275,0.0629,364,8.063,0.1235,290,6.03,0.0924,115.79,47.4408,1.184,0.33,0.01,0.62,4.0582,0
HeavyCardboard,1477,39679,154,7754,1104,266,26.8646,38.9973,0.1381,168,7.192,0.9275,53645,72.608,9.3639,90.834,29.3718,1.197,0.2,0.12,0.26,23.0893,0
gregmishka,3440,39794,47,11639,1388,198,11.568,0.564,0.0227,80,3.295,0.2831,107859,221.314,19.0149,78.583,3.2994,1.1447,0.08,0.03,0.17,78.1238,0
PELightning,3465,39799,141,1154,1607,42,11.486,4.6277,0.0479,34,1.239,1.0737,122063,636.712,551.7435,82.016,11.0351,1.1852,0.05,0.2,0.32,131.7994,0
HealthyVoyager,3592,39800,149,109249,5555,763,11.0802,0.0206,0.0058,10,0.354,0.0032,29,0.206,0.0019,109.708,26.9317,1.5984,0.25,0.52,0.98,0.0171,0
VizWorld,3421,39991,90,9299,6060,2399,11.6899,0.4227,0.04,11,0.265,0.0285,51326,56.598,6.0865,129.85,17.5503,3.7552,0.71,0.17,0.9,15.1117,0
featureshoot,3376,40516,108,146051,2045,2459,12.0012,0.0764,0.0237,75,8.595,0.0588,52770,234.828,1.6078,137.955,10.5556,1.3469,0.27,0.02,0.94,190.4455,1
Jamie1km,3611,40658,53,2133,1099,140,11.2595,1.0399,0.0435,53,0.971,0.4552,109253,683.431,320.4083,101.936,11.7856,1.5714,0.11,0.1,0.49,198.195,0
OneShotRPG,1725,40726,134,8116,1284,194,23.6093,42.127,0.1617,982,12.982,1.5996,169329,548.974,67.641,90.203,20.318,1.4932,0.07,0.12,0.29,232.765,0
philipjreed,3486,40777,47,3408,794,224,11.6974,3.3207,0.0866,58,2.708,0.7946,862187,1427.922,418.9912,105.22,11.9044,1.3578,0.11,0.43,0.63,689.6863,0
GeekMomBlog,2904,41681,24,15672,484,595,14.353,0.4425,0.0096,11,0.527,0.0336,23563,29.452,1.8793,86.655,4.8969,1.5714,0.04,0.01,0.98,4.0055,0
spikeybits,3076,42456,76,3462,2001,91,13.8023,0.1912,0.0423,8,0.535,0.1545,46,0.42,0.1213,124.172,4.8712,2.375,0.01,0.03,0.87,0.1315,0
PlanBstudio,3640,42493,128,2430,73,139,11.6739,0.047,0.0146,65,0.261,0.1074,1701394,2497.029,1027.584,93.331,24.5987,1.1316,0.04,0.02,0.7,214.7445,0
