screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
kayleebird_,1564,13338,11,923,293,2,8.5281,13.3248,0.562,54,0.655,0.7096,514068,37301.526,40413.3543,95.015,7.7952,1.125,0.02,0.14,0.29,0.96,1
commanderinmtg,1154,13346,156,4044,219,37,11.565,19.8553,0.1023,331,3.637,0.8994,115205,197.18,48.7587,97.705,25.6935,1.2893,0.12,0.06,0.42,0.26,0
Squach,4114,13496,62,2854,741,168,3.2805,0.202,0.0211,407,1.978,0.6931,1396,4.604,1.6132,116.684,19.982,1.2143,0.08,0.03,0.43,0.28,0
9Lamper,2333,13974,18,916,1045,0,5.9897,6.3013,0.2289,36,1.598,1.7445,195544,3530.776,3854.559,89.309,8.6073,1.4242,0.03,0.13,0.12,0.616,1
LionintheTrees,1540,14002,134,4705,261,93,9.0922,24.5545,0.1221,4833,15.056,3.2,234122,2151.87,457.3581,104.678,32.0887,1.3529,0.02,0.11,0.38,0.326,0
Tiber_wow,1057,14003,68,566,795,22,13.2479,36.4248,0.2848,16,0.684,1.2085,125107,706.854,1248.8587,77.785,22.2437,1.1667,0.04,0.11,0.21,0.316,0
mikeshouts,3241,14232,33,1404,1738,146,4.3912,0.3382,0.0025,8,0.25,0.1781,29329,43.725,31.1432,112.637,10.6521,2.3,0.59,0.41,0.98,0.071,0
johnhalton,3590,14314,146,1355,293,81,3.9872,0.4426,0.1011,71,1.006,0.7424,144368,1090.928,805.1129,116.567,7.6081,1.2075,0.05,0.13,0.49,0.485,0
unwinnable,2791,14328,123,4331,1267,170,5.1336,2.3325,0.158,261,3.279,0.7571,23743,28.372,6.5509,113.038,17.7036,1.0588,0.02,0.04,0.56,0.726,1
GyariSan1138,2098,14430,159,264,2162,17,6.878,1.0329,0.3508,54,0.36,1.3636,273569,3975.847,15060.0265,129.814,3.7362,1.5625,0.05,0.1,0.31,0.756,1
Gelada,3340,14559,160,3866,791,273,4.359,0.6039,0.1545,240,2.819,0.7292,201743,512.86,132.6591,117.035,19.8784,1.7639,0.23,0.16,0.3,0.622,1
looseuterus,2636,14579,134,716,282,28,5.5307,6.5797,0.1286,26,1.007,1.4064,284566,1428.608,1995.2626,89.354,10.6404,1.5375,0.08,0.05,0.23,0.365,0
Nerdarchy,1609,14656,142,6672,2517,119,9.1088,6.051,0.0012,298,3.889,0.5829,25,0.711,0.1066,97.591,22.4622,1.4778,0.18,0.04,0.49,0.259,0
StellarisGame,1025,14670,34,30789,29,228,14.3122,9.0907,0.0185,760,18.334,0.5955,272,2.485,0.0807,90.804,35.7985,1.08,0.03,0.1,0.29,0.151,0
