screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
erbardo,3123,901,78,674,1602,6,0.2885,0.4153,0.1194,60,1.1293,1.503,47876,81.8049,108.8709,105.7581,-1.2571,1.589,0.34,0.17,0.28,0.6187,1
fluxstudiollc,1264,147,136,160,820,4,0.1163,0.3244,0.019,29,1.1565,1.0625,263,3.7211,3.4188,103.1429,30.4066,2.2653,0.33,0.22,0.60,0.2313,0
forestwitch,3305,7454,160,7213,182,157,2.2554,0.9779,0.0451,155,17.669,2.4496,5636,13.287,1.8421,121.131,16.1268,1.3137,0.05,0.18,0.51,0.644,1
GehennaBooks,880,347,73,273,267,7,0.3943,0.2534,0.1182,19,2.3718,3.0147,112169,414.5562,526.9267,109.0375,8.7868,1.7143,0.14,0.48,0.72,0.6916,1
ginavergel7,3611,214313,134,3339,2183,341,59.35,7.3312,0.1565,10,0.3,0.0898,256296,1735.269,519.6972,102.922,4.3815,1.2647,0.10,0.09,0.48,0.593,1
goldenpolaroid,2654,68664,143,12815,861,251,25.8719,6.9292,0.127,4846,30.399,2.3721,109130,806.076,62.901,68.685,5.6334,1.0,0.01,0.14,0.30,0.523,1
GyariSan1138,2098,14429,159,264,2162,17,6.8775,1.0329,0.3508,54,0.36,1.3636,273569,3975.847,15060.0265,129.814,3.7362,1.5625,0.05,0.10,0.31,0.756,1
HFCNews,3150,21824,22,124504,37744,655,6.9283,0.3311,0.0,3,0.188,0.0015,4,0.199,0.0016,123.562,7.1143,1.9983,0.59,0.00,1.00,0.185,0
HotTweetDeals,583,38066,0,80,59,212,65.2933,0.0017,0.0,1,0.006,0.075,1,0.005,0.0625,128.91,58.909,1.5346,0.62,0.00,0.30,0.005,0
infectedellis,646,343,23,140,17,0,0.531,0.808,0.065,70,2.3003,5.6357,49525,517.3061,1267.4,85.9971,23.8519,1.4615,0.04,0.35,0.20,0.2653,0
JackeyCarkey,1384,9654,153,115,157,3,6.9754,33.1611,0.3468,35,1.177,10.2348,160097,1781.312,15489.6696,98.776,32.9599,1.3649,0.07,0.20,0.21,0.524,1
johndumelo1,2639,8659,118,470516,1555,498,3.2812,0.5441,0.1016,5302,286.215,0.6083,8505,62.164,0.1321,78.577,19.3322,1.3,0.09,0.12,0.59,0.969,1
JonSchnepp,2527,20778,157,64086,1997,472,8.2224,39.2897,0.1381,1191,45.024,0.7026,168393,2766.76,43.1726,108.386,12.3772,1.6216,0.22,0.09,0.43,0.745,1
kayleebird_,1564,13335,11,923,293,2,8.5262,13.3242,0.562,54,0.655,0.7096,514068,37301.526,40413.3543,95.015,7.7952,1.125,0.02,0.14,0.29,0.96,1
krowdster,1535,244841,154,58322,17797,1923,159.5055,56.1831,0.0,29,1.567,0.0269,21,1.068,0.0183,108.954,17.0836,2.8182,0.02,0.00,1.00,0.144,0
LEONR0MER,2949,3080,47,9327,1907,69,1.0444,0.8593,0.0047,85,3.692,0.3958,75,8.588,0.9208,96.471,30.8165,1.1866,0.27,0.30,0.11,0.312,0
LionintheTrees,1540,14001,134,4705,261,93,9.0916,24.5481,0.1221,4833,15.056,3.2,234122,2151.87,457.3581,104.678,32.0887,1.3529,0.02,0.11,0.38,0.326,0
