screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
dvestore,3404,630,136,2239,4397,44,0.1851,0.5488,0.0358,28,0.9809,0.2756,192,2.2162,0.6226,116.8219,31.4168,3.187,0.37,0.16,0.52,0.4102,0
dwayne_illo,2219,7802,93,1243,1161,65,3.516,2.0469,0.0631,164,4.212,3.3886,379925,1443.163,1161.0322,112.929,13.1681,3.5857,0.21,0.12,0.54,0.362,0
dwspainting,2671,1088,0,71,22,1,0.4073,0.0082,0.0026,37,0.077,1.0845,10,0.048,0.6761,72.664,14.7815,2.5,0.00,0.01,0.26,0.017,0
dylandoodles,1664,210,147,73,267,1,0.1262,0.7194,0.0096,11,0.476,1.3562,83652,608.1202,1732.726,108.8221,22.3519,2.2192,0.35,0.27,0.39,0.1538,0
DynamiteComics,2750,34129,159,57019,2692,917,12.4105,5.848,0.0993,146,4.654,0.0816,257,2.943,0.0516,130.137,12.3651,1.2147,0.35,0.04,0.76,0.744,1
dynastybeautyb,1497,12597,81,1652,1684,32,8.4148,2.5271,0.6045,18,0.265,0.1604,13032,41.217,24.9498,125.931,12.5253,3.5164,0.64,0.03,0.66,0.994,1
ealbishri,2440,1009,157,454,425,5,0.4135,0.2516,0.1816,10,0.2648,0.5815,239436,1395.1424,3063.7819,106.5356,14.7594,1.8053,0.23,0.16,0.50,0.5045,1
ebaraf,3346,15327,117,5930,3844,231,4.5807,4.5206,0.0708,86,3.455,0.5826,56147,183.291,30.9091,91.19,35.5935,1.5464,0.10,0.12,0.31,0.399,0
eddyfate,4038,1085,146,3706,1112,217,0.2687,4.0191,0.0884,45,1.501,0.405,158950,1657.406,447.2223,95.169,12.0956,1.4157,0.09,0.15,0.30,0.41,0
EdGameTec,801,511574,153,14949,333,10500,638.6692,0.6155,1.2434,1,0.003,0.0002,339,2.366,0.1583,127.667,20.5497,2.2631,0.80,0.13,0.70,1.0,1
EhrlichAnissa,2376,351,86,79,280,0,0.1477,0.2138,0.0307,8,0.42,1.8608,386155,3571.92,15824.962,99.7886,20.0499,1.2763,0.22,0.07,0.48,0.2343,0
Elecrow1,2021,2938,138,2185,1058,57,1.4537,1.8921,0.2806,465,2.58,1.1808,10589,28.152,12.8842,99.459,21.9693,1.6331,0.14,0.36,0.33,0.693,1
ElectronicsLab,3907,7637,80,3282,1045,94,1.9547,0.0159,0.0046,16,1.156,0.3522,127,0.827,0.252,99.084,5.1546,2.1111,0.02,0.88,0.98,0.338,0
ellenLupton,3339,2635,25,53115,228,1545,0.7892,0.0473,0.0165,153,11.689,0.2201,2979,6.156,0.1159,117.32,20.9422,1.1102,0.13,0.44,0.92,0.706,1
em__lou,2345,223,0,75,112,4,0.0951,0.0026,0.0077,5,0.181,0.5333,42,0.8235,2.4267,89.4977,30.7997,2.8701,0.35,0.10,0.51,0.1448,0
emiliobadilio,2396,5243,27,255,227,2,2.1882,1.0818,0.1715,51,1.013,3.9725,322370,8821.787,34595.2431,83.626,1.2404,1.36,0.05,0.19,0.23,0.568,1
Empoweredlatin1,825,7101,156,481,466,33,8.6073,7.96,0.6158,54,1.474,3.0644,58710,103.067,214.2765,103.452,14.1166,2.3686,0.57,0.32,0.33,0.641,1
engineeringcom,3327,11168,143,42430,191,1160,3.3568,0.0219,0.0042,178,2.283,0.0538,88,1.447,0.0341,127.624,14.9545,1.5343,0.64,0.27,0.98,0.53,1
EnhanciaMusic,528,129,83,303,427,11,0.2443,0.5284,0.1231,21,2.2835,0.9571,22,2.7165,1.1386,120.6063,29.8944,1.9231,0.31,0.16,0.47,0.811,1
EnigmaticEvents,1075,1257,92,213,247,32,1.1693,0.3637,0.0577,15,0.402,1.8873,26436,27.377,128.5305,123.817,15.0312,1.8325,0.38,0.20,0.72,0.231,0
EoT_Impulse,1411,33523,124,293,1361,18,23.7583,53.0106,0.4387,63,0.264,0.901,105996,3028.787,10337.157,101.187,2.4057,1.5,0.03,0.15,0.16,0.643,1
epicgamingnight,1198,7821,133,3602,1108,114,6.5284,7.2805,0.0676,104,5.408,1.5014,231,1.211,0.3362,104.405,29.8323,1.3478,0.09,0.16,0.45,0.239,0
erbardo,3125,902,78,672,1602,6,0.2886,0.4154,0.1194,60,1.1293,1.5074,47876,81.8049,109.1949,105.7581,-1.2571,1.589,0.34,0.17,0.28,0.6187,1
ericabuist,3165,18223,141,9231,3218,143,5.7577,1.8313,0.0325,235,5.978,0.6476,327287,1450.087,157.0888,103.098,11.3648,1.1176,0.02,0.13,0.42,0.295,0
erincasey09,1113,935,153,1759,3006,27,0.8401,1.5948,0.0988,33,1.9357,0.9926,450650,895.2738,459.0887,97.6552,26.8153,1.8436,0.20,0.07,0.41,0.3004,0
ETBoardGames,2427,7941,37,6574,1960,83,3.2719,25.4326,0.0054,18,2.334,0.355,438,3.378,0.5138,109.942,38.2429,1.616,0.38,0.20,0.85,0.455,0
EthanFleischer,3164,9907,73,2995,218,152,3.1312,0.5717,0.0424,387,6.548,2.1863,156393,621.2,207.4124,94.501,14.3516,1.1844,0.14,0.09,0.29,0.288,0
eunicebrownlee,3158,21125,143,1612,1879,154,6.6894,0.4205,0.088,13,0.389,0.2413,450587,2556.941,1586.1917,104.255,20.4593,1.4384,0.33,0.06,0.55,0.327,0
EuroGamerGirl,2012,22439,155,4049,2751,188,11.1526,16.0189,0.0398,47,2.255,0.5569,68835,89.319,22.0595,107.538,49.0366,1.5789,0.06,0.03,0.47,0.116,0
EvanWayneENT,328,447,54,67,146,0,1.3628,2.064,0.4817,11,0.6675,4.1343,491276,8541.0916,52903.7761,76.0434,10.4041,1.7853,0.43,0.20,0.24,0.4482,0
EverythingC64,497,10360,146,7187,7196,58,20.8451,28.7324,1.839,47,0.806,0.1121,5086,47.701,6.6371,128.274,17.2254,2.4179,0.59,0.26,0.19,0.981,1
EvesTitties,1824,39017,23,901,343,10,21.3909,10.1146,0.4337,20,0.134,0.1487,293608,16519.548,18334.6815,88.775,-4.9506,1.25,0.02,0.26,0.37,0.809,1
eyre_joe,2584,1155,76,1012,1818,12,0.447,1.1006,0.1889,45,1.835,1.8132,194852,418.294,413.334,116.893,41.4391,1.1675,0.20,0.06,0.34,0.677,1
fabiojose80,3342,9687,125,573,283,42,2.8986,0.0542,0.1023,3,0.08,0.1396,168369,450.988,787.0646,102.475,2.4786,1.3421,0.19,0.13,0.60,0.379,0
FailroadExpress,1965,1052,157,230,384,27,0.5354,0.1221,0.0677,32,0.542,2.3565,21866,35.695,155.1957,110.413,16.3213,2.8767,0.74,0.12,0.59,0.284,0
fairway3games,1192,12922,154,2942,2226,106,10.8406,9.2878,0.2232,46,1.865,0.6339,30153,31.541,10.7209,102.083,17.1108,1.5514,0.11,0.35,0.47,0.382,0
fancifullocales,3246,3037,148,146,0,3,0.9356,0.0025,0.0,4,0.421,2.8836,4,0.254,1.7397,113.12,-1.7373,2.0,0.80,0.00,0.20,0.23,0
fanfactories,656,3020,156,789,665,21,4.6037,11.6235,0.157,62,2.928,3.711,4508,5.295,6.711,79.996,18.4375,1.3651,0.06,0.05,0.25,0.177,0
FanthaTracks,395,5528,152,2666,3669,29,13.9949,18.7975,0.1823,294,4.545,1.7048,6321,17.856,6.6977,115.702,3.9915,1.7158,0.64,0.22,0.76,0.6,1
fasagames,2152,784,156,333,89,25,0.3643,0.3155,0.013,57,3.378,7.9429,15,0.8659,2.036,98.493,28.2888,1.628,0.26,0.22,0.47,0.3819,0
Fatima_Gemini,3161,655,140,543,1045,17,0.2072,0.3186,0.1044,11,0.6481,0.7735,68845,531.338,634.0829,128.7238,45.3504,1.7282,0.32,0.03,0.74,0.7269,1
featureshoot,3376,40516,108,146051,2045,2459,12.0012,0.0764,0.0237,75,8.595,0.0588,52770,234.828,1.6078,137.955,10.5556,1.3469,0.27,0.02,0.94,0.811,1
