screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
jaeminIuvr,1389,121269,38,1650,185,79,87.3067,10.0936,0.2181,27,0.879,0.5327,513298,4264.538,2584.5685,63.463,8.343,3.3134,0.07,0.23,0.29,0.371,0
jam_hirons,2677,145595,155,2718,2085,1244,54.3874,1.0239,0.3698,1,0.005,0.0018,537,3.128,1.1508,128.431,21.3991,2.2381,0.84,0.09,0.57,0.989,1
james_irvs,1505,160,155,67,101,6,0.1063,0.0777,0.0558,6,0.2125,0.5075,44072,560.0312,1337.3881,109.2875,21.1158,1.4,0.19,0.09,0.28,0.5563,1
james_r_eads,2032,1213,65,2165,105,29,0.5969,0.0025,0.003,16,1.728,0.7982,16,0.555,0.2564,94.532,14.8636,1.125,0.02,0.00,0.99,0.364,0
jamesburk,3743,355,101,309,651,24,0.0948,0.023,0.0182,19,0.6445,0.7217,935560,2823.6358,3161.7411,114.7572,12.3319,2.0764,0.42,0.03,0.79,0.6156,1
Jamie1km,3609,40633,53,2133,1096,140,11.2588,1.0369,0.0435,53,0.971,0.4552,109253,683.431,320.4083,101.936,11.7856,1.5714,0.11,0.10,0.49,0.29,0
jamiekinney,3422,2186,144,536,293,45,0.6388,0.6376,0.1517,190,1.51,2.8172,1701886,5348.961,9979.4049,112.163,26.2931,1.481,0.24,0.17,0.37,0.641,1
JarlDM,1152,539,117,500,583,15,0.4679,0.1493,0.0156,20,0.7679,0.774,5456,13.5377,13.646,89.9028,17.0478,1.2917,0.05,0.02,0.88,0.1429,0
JasonElsom,3332,54906,159,125919,38430,1687,16.4784,5.6915,0.1227,199,3.442,0.0273,176142,1234.626,9.8049,94.403,8.5935,1.5063,0.16,0.24,0.51,0.775,1
JaxOfBo,1712,57803,106,1507,1128,31,33.7634,35.3002,0.2325,49,1.18,0.783,184172,2666.618,1769.4877,81.176,19.7458,1.2883,0.11,0.21,0.17,0.442,0
jbolognino,3607,28465,145,4391,1879,157,7.8916,14.1697,0.0962,182,0.977,0.2225,273613,4164.142,948.3357,85.718,10.8148,1.3929,0.06,0.10,0.45,0.391,0
jdaman79,2739,1544,157,119,225,3,0.5637,3.1961,0.2125,18,0.385,3.2353,232939,1913.185,16077.1849,105.715,16.2447,1.4174,0.22,0.11,0.35,0.6,1
Jewson,2658,11844,160,25187,2191,219,4.456,1.5263,0.0862,209,2.732,0.1085,829,2.918,0.1159,122.338,33.0026,1.3622,0.18,0.12,0.47,0.489,0
JFC_RU,1146,2096,155,632,304,150,1.829,0.8656,0.226,12,1.198,1.8956,250,1.99,3.1487,131.018,30.3352,1.561,0.53,0.11,0.72,0.533,1
JFGarrard,2064,10304,159,1154,1809,74,4.9922,0.3803,0.3358,34,0.363,0.3146,312613,2293.668,1987.5806,123.049,13.1875,2.0167,0.36,0.21,0.45,0.766,1
JimmyJLess,1598,11900,43,2317,462,20,7.4468,10.5332,0.0651,62,6.509,2.8092,67408,171.23,73.9016,78.04,29.155,1.3636,0.03,0.21,0.35,0.493,0
Jipin,3380,38809,40,1454,910,40,11.482,7.2562,0.0565,52,0.942,0.6479,189443,1134.6,780.3301,89.633,15.3704,1.5368,0.10,0.19,0.22,0.209,0
