keywords,User,Time,Favorite count,retweets,Text
Modiphius Entertainment,AGCemporium,2018/6/18 19:20,8,5,"Now on #Kickstarter, @Modiphius Entertainment #boardgame Kung Fu Panda https://t.co/Qgc9iGn1Wb 

A game of furious https://t.co/y9C82MfWEw"
A Book for Kids about Improv for Life,AgileFaye,2018/5/14 19:16,1,2,"Hey, Improvisers! If you've got little people in  your life &amp; want to introduce them to the creativity &amp; collaborat https://t.co/aYBBSKQf24"
Savage Impressions,ahrcletterpress,2018/5/15 6:36,4,5,Kickstarter to fund book on Bruce Licher and the Independent Project Press(via @RedPlatePress): just 5k needed to r https://t.co/phwzi66WCO
Bi-frost and Pride Valkyrie Pins,akasha111182,2018/6/4 14:43,3,1,Did I back these? How is this even a question. Of course I backed these: Bi-frost and Pride Valkyrie Pins https://t.co/1Tq8Ny7pBu #Pride2018
MORE Cool Dice Bags,alanbahr,2018/5/26 1:15,8,2,"My friends at Black Oak Workshop have a new dice bag Kickstarter up!

https://t.co/gspaQEOPA9"
Ember Goods Storefront,alaskangeles,2018/5/10 4:49,36,4,My friends are Kick-starting their new business!! Go check it out and donate for some awesome perks!!! 7 days left! https://t.co/J7INT3hCIS
Cubeamajigs,AlexisJanson,2018/5/19 20:12,15,1,Ooooooooooooh boy it's cubeamajigs from @cardamajigs I don't have time to give these a full test and review right https://t.co/rqZlW4OYcN
Capsule360,alexneskin,2018/6/17 18:48,5,2,Capsule360: Versatile Motion Control Box with 3-Axis Motion is popular on @Kickstarter! https://t.co/Eq7VnaUsJY
A World Of Wisdom,alisongilbert,2018/5/16 2:28,3,1,So lucky to call a @MaxieMcCoy a friend. So excited more of the world gets a dose of her wisdom and inspiration. Yo https://t.co/rCHFhBRBNT
Sanity Line,alissakmclean,2018/6/4 21:46,6,4,"@byrdinator This is right in line with the kind of human @tedcruz is. He humiliates himself, his state, and the cou https://t.co/uuJ5L3wrJB"
Alizeti 300C,Alizetibikes,2018/5/14 16:17,1,1,"Stop waiting to make a #change that is great for your #MindBodySpirit, and the #environment. #Repurpose your #bike https://t.co/uJWTRSVbYy"
Itchy Monkey,AllanKirkeby,2018/5/29 22:28,6,4,"Itchy Monkey, a game with a wacky theme, endless variations, full 2-4 player support, and it's language independent https://t.co/L6zEO7SPUc"
Firecricket XL,AllArduino,2018/5/16 18:37,1,1,"#arduino https://t.co/wPrO0Aoo5d Firecricket XL - Arduino Zero compatible with built in MicroSD, audio amplifier, 5 https://t.co/EC53pcbiIp"
Slickerdrips,alleycatgames,2018/5/30 7:33,6,1,"Slickerdrips - Year 3!

 https://t.co/LodYcJqhP4, via Kickstarter"
Dungeonrunner,AlphaMecha,2018/5/15 1:30,4,3,Dungeonrunner:  Solitaire Fantasy Card  Game  800% of goal and new stretch  goals had to be added! https://t.co/qsDAXasYPD
Lost Worlds poster map,alpoma,2018/6/4 10:30,2,2,"Lost Worlds: an amazing fantasy map of lost continents, phantom islands and mythical creatures https://t.co/DY1prEGjfK"
ARS GOETIA,ALuccia7,2018/6/10 17:37,8,9,"Ars Goetia Demons: PAIMON (03-04-2018) 
-
#arsgoetia #paimon #draw #arte #drawing #drawings #Demon #pencildrawing https://t.co/FaZi3ENiJy"
The Eye of the Cyclops from Forge of Ice,alxbates,2018/6/18 12:00,9,3,"Woot!  Fully funded in two days!!  Thanks for all the support!  And now, on to stretch goals! https://t.co/ENKbcbJXrc"
"LITTLE MOSS, BIG TREE",alysiareiner,2018/6/10 0:32,2,1,LOVE THIS! Just pledged a book for Liv! https://t.co/gnsYfko0HP https://t.co/i3wIj4xlYv
Ladies of the Months Coloring Book by Angela R. Sasser,amandamakepeace,2018/5/26 14:46,3,1,Only 4 days left!! Ladies of the Months Coloring Book by Angela R. Sasser on @Kickstarter https://t.co/h7eIeLuIpv #art #coloring #book
Oh My! How We're Different,amandarivkin,2018/5/15 22:10,2,1,Oh its spot on. Thanks Uday @DonaldJTrumpJr for bringing my attention to it! Spot on depiction. Now we all know ho https://t.co/JexsnCQPDQ
DIG (Second Edition) & DIG,amangrovetree,2018/5/22 11:34,3,2,"Last hours to back DIG and DIG: Dragon! on kickstarter!
6 Stretch Goals unlocked including the addition of a 5th pl https://t.co/QhYhXT9XNT"
Rollux,amartino,2018/6/11 2:03,2,1,Rollux: The Most Versatile 2-in-1 Suitcase Around is popular on @Kickstarter! https://t.co/jD6xNX39lY
BEDCHILL,AmberNLyon,2018/5/31 3:37,2,2,"This is a sick @kickstarter project. #Bedchill

https://t.co/ql0awh3eBO"
Flaming Dinosaur Skull Enamel Pins!,anatotitan,2018/6/17 23:13,9,4,"ICYMI, #FlamingDinoSkulls funded today! So now you can officially consider a pledge to be a pre-order for a sticker https://t.co/z3Lj2aBzXM"
The Future of Books is Female,andevers,2018/5/28 22:57,20,4,"I don't know it, know it, but I truly believe there is someone out there who wants me to build them a 200-book libr https://t.co/fwSd3oijgE"
The Visual Facilitation Field Guide,Andi_Roberts,2018/5/20 17:17,7,7,"Calling any leader, manager, coach, trainer OR facilitator - This resource should be on your bookshelf: The Visual https://t.co/lTSvKg4oqi"
Kegtron,Androidheadline,2018/5/10 22:52,6,2,Kegtron Is A Smart Keg Monitor That Helps Keep The Beer Flowing https://t.co/7RwZtrL4ep https://t.co/kaFkDHr8lt
52 Essential Conversations,andyr20,2018/5/18 19:37,4,1,Check out this new game focused on starting and building discussions around #SEL #DEI and critical thinking in the https://t.co/m2hWUwhTdj
99 Bitcoins and an Elephant,AndyXJenkins,2018/5/21 8:25,0,1,I just backed 99 Bitcoins and an Elephant: Sci-fi for young girls and boys on @Kickstarter https://t.co/thh2jxs9bg https://t.co/juuuUap8vA
Period Romance Enamel Pins,angelaanimates,2018/6/5 19:35,4,3,"My Period Romance enamel pin Kickstarter is FINALLY live. Right now we have pins based on 1995 Pride and Prejudice, https://t.co/DwIheAAHBv"
SpeechifyApp,angelaefox,2018/5/11 1:02,0,1,#Technology is helping #dyslexic learners feel empowered with apps like @SpeechifyApp. Great to see new tools that https://t.co/7vdtrN49c1
The Peasants' Fell Bargain,Angus_A,2018/6/14 15:05,4,1,"My one hundredth crowdfunding column...

RPG Crowdfunding News 100: Quest, The Black Hack, Dream Askew / Dream Apar https://t.co/UfsWydC7X1"
Annabelle & Aiden,AnnabelleNAiden,2018/5/15 22:16,0,1,.@A2ZHomeschool We think you'll dig our science-based children's picture book series; our newest title https://t.co/3eV2ZnBJUT
In Strange Daylight,AnotherIdolBot,2018/5/21 7:30,23,3,"abe nana, white rabbit
artist: kara

https://t.co/Xf9R6qfcvw
an idea took shape in my mind which no one had ever th https://t.co/khKPbmDc1X"
Abram Games,AntikBar,2018/5/25 14:58,3,2,"""Abram Games - The Shakespeare Project"" We've just sponsored this Kickstarter campaign featuring an unfinished proj https://t.co/ja10ZvjSCi"
